Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/20/2025,Miami Hurricanes,Elon Phoenix,Miami FL,Elon,Miami FL,Elon,-20.5,20.5,163.5,114.456,107.846,99.7274,115.474,14.7287,-7.62895,72.7088,70.144,2.9,2.5,71.4033756,83.7,72.5,156.2,-19.15,19.15,96.055,19.2,Miami FL,Miami FL 84 – Elon 72,-1.35,1.35,AWAY,Elon,1.35,-7.3
11/20/2025,Florida Atlantic Owls,Pacific Tigers,Florida Atlantic,Pacific,Florida Atlantic,Pacific,-7.5,7.5,156.5,112.481,106.532,107.932,109.553,4.54883,-3.02093,70.296,69.6475,3,2.5,69.97024742,79.3,73.4,152.7,-8.6,8.6,80.733,8.6,Florida Atlantic,Florida Atlantic 79 – Pacific 73,1.1,-1.1,HOME,Florida Atlantic,1.1,-3.8
11/20/2025,Fordham Rams,LIU Sharks,Fordham,LIU,Fordham,LIU,-2.5,2.5,147.5,103.56,99.6606,109.882,108.414,-6.32201,-8.75378,66.6823,72.8295,2.4,2.2,69.62047035,75.1,71.6,146.7,-4.33,4.33,67.308,4.3,Fordham,Fordham 75 – LIU 72,1.83,-1.83,HOME,Fordham,1.83,-0.8
11/20/2025,Miami (OH) RedHawks,Mercyhurst Lakers,Miami OH,Mercyhurst,Miami OH,Mercyhurst,-15.5,15.5,139.5,109.609,98.5692,106.878,110.579,2.73153,-12.0096,71.5193,67.3763,3.1,2.4,69.38601097,78.1,69.6,147.7,-13.64,13.64,90.662,13.6,Miami OH,Miami OH 78 – Mercyhurst 70,-1.86,1.86,AWAY,Mercyhurst,1.86,8.2
11/20/2025,Nebraska Cornhuskers,New Mexico Lobos,Nebraska,New Mexico,Nebraska,New Mexico,-7.5,7.5,152.5,118.722,106.725,101.006,100.098,17.7154,6.62708,72.7986,71.295,3.3,4.3,72.03895505,80.6,73,153.6,-11.62,11.62,87.395,11.6,Nebraska,Nebraska 81 – New Mexico 73,4.12,-4.12,HOME,Nebraska,4.12,1.1
11/20/2025,Princeton Tigers,Northeastern Huskies,Princeton,Northeastern,Princeton,Northeastern,-2.5,2.5,147.5,101.684,102.943,107.05,107.585,-5.36613,-4.64213,70.6397,69.5425,2.1,2.1,70.08680613,74.5,72.4,146.9,-1.8,1.8,57.455,1.8,Princeton,Princeton 74 – Northeastern 72,-0.7,0.7,AWAY,Northeastern,0.7,-0.6
11/20/2025,UCF Knights,Pittsburgh Panthers,UCF,Pittsburgh,UCF,Pittsburgh,1.5,-1.5,149.5,117.377,111.501,104.275,100.646,13.1013,10.8554,71.8985,66.9556,3.5,3.1,69.33907183,77.5,72.9,150.4,-5.41,5.41,71.12,5.4,UCF,UCF 78 – Pittsburgh 73,6.91,-6.91,HOME,UCF,6.91,0.9
11/20/2025,Queens University Royals,UNC Greensboro Spartans,Queens,UNC Greensboro,Queens,UNC Greensboro,-6.5,6.5,151.5,110.545,105.228,113.105,114.756,-2.5602,-9.52748,70.8941,69.5534,2.8,2.3,70.2173509,80.6,75.1,155.8,-7.97,7.97,79.063,8,Queens,Queens 81 – UNC Greensboro 75,1.47,-1.47,HOME,Queens,1.47,4.3
11/20/2025,Tennessee Volunteers,Tennessee St Tigers,Tennessee,Tennessee St.,Tennessee,Tennessee St.,-32.5,32.5,157.5,117.399,103.129,92.6403,109.478,24.7589,-6.34926,70.094,74.0806,3.6,3.5,72.03218287,83.7,68.5,152.2,-26.37,26.37,98.781,26.4,Tennessee,Tennessee 84 – Tennessee St. 68,-6.13,6.13,AWAY,Tennessee St.,6.13,-5.3
11/20/2025,Vanderbilt Commodores,Texas Southern Tigers,Vanderbilt,Texas Southern,Vanderbilt,Texas Southern,-34.5,34.5,166.5,124.534,100.656,99.742,113.554,24.7917,-12.8976,72.2253,72.3141,3,2.5,72.26967272,87.7,70.8,158.4,-30.54,30.54,99,30.5,Vanderbilt,Vanderbilt 88 – Texas Southern 71,-3.96,3.96,AWAY,Texas Southern,3.96,-8.1
11/20/2025,Iowa Hawkeyes,Chicago St Cougars,Iowa,Chicago St.,Iowa,Chicago St.,-32.5,32.5,141.5,120.531,97.6978,100.588,116.575,19.9421,-18.8768,65.745,69.5211,3.5,2.6,67.58034303,82,65.1,147.1,-30.08,30.08,99,30.1,Iowa,Iowa 82 – Chicago St. 65,-2.42,2.42,AWAY,Chicago St.,2.42,5.6
11/20/2025,North Texas Mean Green,Central Arkansas Bears,North Texas,Central Arkansas,North Texas,Central Arkansas,-14.5,14.5,134.5,105.626,97.61,99.202,114.358,6.42365,-16.7483,67.5183,70.9713,3.1,2.7,69.20175269,77.8,66.4,144.2,-19.45,19.45,96.234,19.4,North Texas,North Texas 78 – Central Arkansas 66,4.95,-4.95,HOME,North Texas,4.95,9.7
11/20/2025,Ohio State Buckeyes,Western Michigan Broncos,Ohio St.,Western Michigan,Ohio St.,Western Michigan,-27.5,27.5,159.5,118.786,102.232,99.9362,110.994,18.85,-8.76235,70.5674,72.4594,3.5,2.7,71.50088604,84.1,70.4,154.4,-23.59,23.59,98.078,23.6,Ohio St.,Ohio St. 84 – Western Michigan 70,-3.91,3.91,AWAY,Western Michigan,3.91,-5.1
11/20/2025,Oklahoma Sooners,Oral Roberts Golden Eagles,Oklahoma,Oral Roberts,Oklahoma,Oral Roberts,-24.5,24.5,166.5,120.131,103.079,106.406,114.75,13.7247,-11.6707,69.8796,72.3613,4.1,3.2,71.09880069,85.8,72.2,158,-22.57,22.57,97.727,22.6,Oklahoma,Oklahoma 86 – Oral Roberts 72,-1.93,1.93,AWAY,Oral Roberts,1.93,-8.5
11/20/2025,Rice Owls,Tarleton State Texans,Rice,Tarleton St.,Rice,Tarleton St.,-3.5,3.5,144.5,105.542,105.779,111.435,108.985,-5.89302,-3.20576,69.061,70.9638,2.4,3.2,69.99947141,76.4,74.7,151.1,-0.76,0.76,53.158,0.8,Rice,Rice 76 – Tarleton St. 75,-2.74,2.74,AWAY,Tarleton St.,2.74,6.6
11/20/2025,Missouri Tigers,South Dakota Coyotes,Missouri,South Dakota,Missouri,South Dakota,-27.5,27.5,173.5,121.614,104.453,102.099,113.789,19.5154,-9.33601,71.2653,74.0707,3.6,3,72.64092388,87.5,73,160.5,-24.92,24.92,98.453,24.9,Missouri,Missouri 88 – South Dakota 73,-2.58,2.58,AWAY,South Dakota,2.58,-13
11/20/2025,Wake Forest Demon Deacons,Texas Tech Red Raiders,Wake Forest,Texas Tech,Wake Forest,Texas Tech,9.5,-9.5,160.5,114.392,121.656,98.4934,98.5488,15.8985,23.1073,74.171,68.8454,4.2,4.2,71.40904349,78.3,76.3,154.6,0.53,-0.53,47.803,0.5,Texas Tech,Wake Forest 78 – Texas Tech 76,8.97,-8.97,HOME,Wake Forest,8.97,-5.9
11/20/2025,Utah Utes,Cal Poly Mustangs,Utah,Cal Poly,Utah,Cal Poly,-12.5,12.5,169.5,111.323,104.227,107.518,106.815,3.80493,-2.58718,71.8319,77.647,4.5,2.6,74.62633909,83.9,76.5,160.4,-9.72,9.72,83.48,9.7,Utah,Utah 84 – Cal Poly 76,-2.78,2.78,AWAY,Cal Poly,2.78,-9.1
11/20/2025,Houston Cougars,Rider Broncs,Houston,Rider,Houston,Rider,-40.5,40.5,131.5,119.242,99.3056,89.2976,113.766,29.9444,-14.4608,66.5536,69.4928,3.1,2,67.99145018,80.9,62.4,143.3,-33.6,33.6,99,33.6,Houston,Houston 81 – Rider 62,-6.9,6.9,AWAY,Rider,6.9,11.8
11/20/2025,Kansas St Wildcats,Mississippi St Bulldogs,Kansas St.,Mississippi St.,Kansas St.,Mississippi St.,2.5,-2.5,163.5,117.698,115.904,102.391,102.115,15.307,13.7882,73.833,72.0767,3.7,3.8,72.9442798,82.2,77.6,159.8,-5.18,5.18,70.328,5.2,Kansas St.,Kansas St. 82 – Mississippi St. 78,7.68,-7.68,HOME,Kansas St.,7.68,-3.7
11/20/2025,UNLV Rebels,Saint Joseph's Hawks,UNLV,Saint Joseph's,UNLV,Saint Joseph's,-10.5,10.5,164.5,114.673,105.255,107.308,106.3,7.36435,-1.045,74.2073,72.0739,3.1,3.1,73.12504299,82.5,76,158.5,-9.56,9.56,83.107,9.6,UNLV,UNLV 82 – Saint Joseph's 76,-0.94,0.94,AWAY,Saint Joseph's,0.94,-6
11/20/2025,USC Trojans,Troy Trojans,USC,Troy,USC,Troy,-18.5,18.5,160.5,118.023,110.713,97.5888,104.955,20.4345,5.75787,73.6456,70.7089,3.3,2.8,72.14737838,82.3,73.3,155.6,-14.22,14.22,91.45,14.2,USC,USC 82 – Troy 73,-4.28,4.28,AWAY,Troy,4.28,-4.9
11/20/2025,Hawai'i Rainbow Warriors,Arizona St Sun Devils,Hawaii,Arizona St.,Hawaii,Arizona St.,-2.5,2.5,146.5,106.24,111.102,99.1926,100.578,7.04739,10.5236,72.0857,71.4405,2.5,3,71.7616498,75.6,74.1,149.7,-0.26,0.26,51.064,0.3,Hawaii,Hawaii 76 – Arizona St. 74,-2.24,2.24,AWAY,Arizona St.,2.24,3.2
