Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/20/2025,Incarnate Word Cardinals,Southern Indiana Screaming Eagles,Incarnate Word,Southern Indiana,Incarnate Word,Southern Indiana,-9.5,9.5,147.5,107.892,99.4387,110.931,111.661,-3.03875,-12.222,68.9721,73.6664,2.4,2.8,71.24200419,79.5,73.6,153.1,-9.18,9.18,82.206,9.2,Incarnate Word,Incarnate Word 80 – Southern Indiana 74,-0.32,0.32,AWAY,Southern Indiana,0.32,5.6
11/20/2025,High Point Panthers,UIC Flames,High Point,Illinois Chicago,High Point,Illinois Chicago,-8.5,8.5,158.5,116.114,106.545,105.945,105.954,10.1694,0.591465,71.4776,70.9588,2.7,2.6,71.21725518,80.6,74.2,154.7,-9.79,9.79,83.642,9.8,High Point,High Point 81 – Illinois Chicago 74,1.29,-1.29,HOME,High Point,1.29,-3.8
11/20/2025,Indiana Hoosiers,Lindenwood Lions,Indiana,Lindenwood,Indiana,Lindenwood,-34.5,34.5,159.5,118.588,96.355,97.7766,109.955,20.8114,-13.6002,69.1808,73.2075,3.2,2.8,71.13721304,83,67.3,150.3,-28,28,99,28,Indiana,Indiana 83 – Lindenwood 67,-6.5,6.5,AWAY,Lindenwood,6.5,-9.2
11/20/2025,Memphis Tigers,Purdue Boilermakers,Memphis,Purdue,Memphis,Purdue,16.5,-16.5,158.5,112.294,128.035,100.585,99.6703,11.7089,28.3651,73.2498,67.1422,3.4,3.5,70.06314778,76.1,78.2,154.3,7.93,-7.93,21.055,7.9,Purdue,Memphis 76 – Purdue 78,8.57,-8.57,HOME,Memphis,8.57,-4.2
11/20/2025,St. Bonaventure Bonnies,Robert Morris Colonials,St. Bonaventure,Robert Morris,St. Bonaventure,Robert Morris,-11.5,11.5,146.5,110.786,104.201,106.116,109.154,4.67045,-4.95232,67.7508,70.6412,3.9,2.8,69.16581613,78.2,70.6,148.8,-10.95,10.95,86.108,10.9,St. Bonaventure,St. Bonaventure 78 – Robert Morris 71,-0.55,0.55,AWAY,Robert Morris,0.55,2.3
11/20/2025,Stony Brook Seawolves,Brown Bears,Stony Brook,Brown,Stony Brook,Brown,-5.5,5.5,134.5,106.843,100.597,112.438,109.653,-5.59554,-9.05606,69.0543,67.688,2.5,1.8,68.36432411,75.4,71.4,146.8,-5.12,5.12,70.112,5.1,Stony Brook,Stony Brook 75 – Brown 71,-0.38,0.38,AWAY,Brown,0.38,12.3
11/20/2025,Marshall Thundering Herd,Arkansas-Pine Bluff Golden Lions,Marshall,Arkansas Pine Bluff,Marshall,Arkansas Pine Bluff,-19.5,19.5,164.5,107.816,95.7947,107.593,118.594,0.22291,-22.7997,73.6102,74.2399,3.1,2,73.92370904,85.4,73.5,158.9,-20.43,20.43,96.786,20.4,Marshall,Marshall 85 – Arkansas Pine Bluff 74,0.93,-0.93,HOME,Marshall,0.93,-5.6
11/20/2025,St. John's Red Storm,Bucknell Bison,St. John's,Bucknell,St. John's,Bucknell,-30.5,30.5,158.5,119.492,100.471,95.7058,110.192,23.7861,-9.72111,75.0721,69.8609,3.3,2.7,72.37281324,84.9,69.2,154.1,-27.88,27.88,99,27.9,St. John's,St. John's 85 – Bucknell 69,-2.62,2.62,AWAY,Bucknell,2.62,-4.4
11/20/2025,Central Michigan Chippewas,Northern Kentucky Norse,Central Michigan,Northern Kentucky,Central Michigan,Northern Kentucky,-5.5,5.5,148.5,101.919,103.511,113.596,109.395,-11.6775,-5.88373,69.2307,70.0577,2.4,2.9,69.64174492,74.9,74.3,149.2,1.39,-1.39,44.214,1.4,Northern Kentucky,Central Michigan 75 – Northern Kentucky 74,-6.89,6.89,AWAY,Northern Kentucky,6.89,0.7
11/20/2025,Cornell Big Red,Colgate Raiders,Cornell,Colgate,Cornell,Colgate,-5.5,5.5,161.5,109.182,107.801,111.368,109.302,-2.18572,-1.501,74.9052,68.8652,2.5,2.2,71.75832548,79.8,77.3,157,-2.26,2.26,59.301,2.3,Cornell,Cornell 80 – Colgate 77,-3.24,3.24,AWAY,Colgate,3.24,-4.5
