Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/21/2025,Rutgers Scarlet Knights,Central Connecticut St Blue Devils,Rutgers,Central Connecticut,Rutgers,Central Connecticut,-14.5,14.5,138.5,110.206,96.3291,102.37,107.266,7.83636,-10.937,69.7404,69.0099,3.9,1.8,69.37322701,77.6,66.8,144.4,-17.31,17.31,94.713,17.3,Rutgers,Rutgers 78 – Central Connecticut 67,2.81,-2.81,HOME,Rutgers,2.81,5.9
11/21/2025,Cincinnati Bearcats,Louisville Cardinals,Cincinnati,Louisville,Cincinnati,Louisville,9.5,-9.5,163.5,108.539,125.833,91.115,100.112,17.4236,25.7219,73.9834,73.9021,3.7,3.3,73.94272765,79.2,78.2,157.3,2.07,-2.07,41.476,2.1,Louisville,Cincinnati 79 – Louisville 78,7.43,-7.43,HOME,Cincinnati,7.43,-6.2
11/21/2025,Clemson Tigers,West Virginia Mountaineers,Clemson,West Virginia,Clemson,West Virginia,-3.5,3.5,132.5,119.367,111.097,98.8529,97.2849,20.5144,13.8117,66.8653,66.1054,3.5,4.5,66.48317866,73.9,67.9,141.8,-8.31,8.31,79.969,8.3,Clemson,Clemson 74 – West Virginia 68,4.81,-4.81,HOME,Clemson,4.81,9.3
11/21/2025,Michigan St Spartans,Detroit Mercy Titans,Michigan St.,Detroit Mercy,Michigan St.,Detroit Mercy,-31.5,31.5,149.5,116.658,99.396,94.0656,112.639,22.5925,-13.2429,69.2559,72.9652,3.1,2.8,71.06217846,83.2,67,150.2,-28.88,28.88,99,28.9,Michigan St.,Michigan St. 83 – Detroit Mercy 67,-2.62,2.62,AWAY,Detroit Mercy,2.62,0.7
11/21/2025,Eastern Michigan Eagles,Oakland Golden Grizzlies,Eastern Michigan,Oakland,Eastern Michigan,Oakland,2.5,-2.5,151.5,102.154,109.694,108.214,111.123,-6.06024,-1.4289,70.1561,69.9695,2.9,2.5,70.06267576,76.3,74.7,151,0.05,-0.05,49.771,0.1,Oakland,Eastern Michigan 76 – Oakland 75,2.45,-2.45,HOME,Eastern Michigan,2.45,-0.5
11/21/2025,Siena Saints,Albany Great Danes,Siena,Albany,Siena,Albany,-12.5,12.5,137.5,105.271,99.9904,107.03,111.132,-1.75912,-11.142,68.5273,70.3437,2.7,2.1,69.42362096,76.6,70.4,147,-9.48,9.48,82.93,9.5,Siena,Siena 77 – Albany 70,-3.02,3.02,AWAY,Albany,3.02,9.5
11/21/2025,Marist Red Foxes,Army Knights,Marist,Army,Marist,Army,-15.5,15.5,131.5,97.7246,97.1222,99.4015,115.023,-1.67687,-17.901,67.5041,70.6247,2.3,2.3,69.02914977,74.7,66.6,141.3,-13.73,13.73,90.79,13.7,Marist,Marist 75 – Army 67,-1.77,1.77,AWAY,Army,1.77,9.8
11/21/2025,Canisius Golden Griffins,Maryland-Eastern Shore Hawks,Canisius,Maryland Eastern Shore,Canisius,Maryland Eastern Shore,-2.5,2.5,126.5,97.1659,92.698,115.055,108.782,-17.8889,-16.0844,67.5345,66.008,2.4,3.1,66.76252543,70.1,68,138.1,-1.44,1.44,55.952,1.4,Canisius,Canisius 70 – Maryland Eastern Shore 68,-1.06,1.06,AWAY,Maryland Eastern Shore,1.06,11.6
11/21/2025,East Carolina Pirates,Charleston Southern Buccaneers,East Carolina,Charleston Southern,East Carolina,Charleston Southern,-10.5,10.5,158.5,103.384,101.922,107.146,113.71,-3.76135,-11.7879,71.6284,72.6969,3.3,2,72.15869473,80.1,73.6,153.8,-9.42,9.42,82.783,9.4,East Carolina,East Carolina 80 – Charleston Southern 74,-1.08,1.08,AWAY,Charleston Southern,1.08,-4.7
11/21/2025,Western Illinois Leathernecks,Coastal Carolina Chanticleers,Western Illinois,Coastal Carolina,Western Illinois,Coastal Carolina,3.5,-3.5,137.5,100.843,103.174,115.523,109.748,-14.68,-6.574,65.9216,69.04,2.9,3,67.44477339,72.6,72.2,144.8,2.28,-2.28,40.624,2.3,Coastal Carolina,Western Illinois 73 – Coastal Carolina 72,1.22,-1.22,HOME,Western Illinois,1.22,7.3
11/21/2025,Drexel Dragons,Pennsylvania Quakers,Drexel,Penn,Drexel,Penn,-4.5,4.5,153.5,102.17,105.963,108.574,113.722,-6.40378,-7.75939,68.0926,73.6662,3.1,2.3,70.76983002,78.1,74.2,152.3,-4.37,4.37,67.442,4.4,Drexel,Drexel 78 – Penn 74,-0.13,0.13,AWAY,Penn,0.13,-1.2
11/21/2025,East Tennessee St Buccaneers,Morehead St Eagles,East Tennessee St.,Morehead St.,East Tennessee St.,Morehead St.,-10.5,10.5,145.5,106.922,101.116,106.497,111.307,0.425748,-10.1912,69.9324,69.4855,2.6,2.9,69.70823374,77.5,70.9,148.4,-10.26,10.26,84.686,10.3,East Tennessee St.,East Tennessee St. 78 – Morehead St. 71,-0.24,0.24,AWAY,Morehead St.,0.24,2.9
11/21/2025,Florida Gators,Merrimack Warriors,Florida,Merrimack,Florida,Merrimack,-38.5,38.5,160.5,120.118,103.15,93.2529,110.608,26.8649,-7.458,74.9942,68.6823,2.9,1.9,71.69960491,84.3,68.8,153.1,-27.8,27.8,99,27.8,Florida,Florida 84 – Merrimack 69,-10.7,10.7,AWAY,Merrimack,10.7,-7.4
11/21/2025,Sacred Heart Pioneers,Holy Cross Crusaders,Sacred Heart,Holy Cross,Sacred Heart,Holy Cross,-6.5,6.5,151.5,104.209,99.6967,114.119,115.131,-9.91044,-15.4342,71.1082,68.0731,2.3,2.1,69.55755708,77.5,73.1,150.6,-6.37,6.37,74.308,6.4,Sacred Heart,Sacred Heart 78 – Holy Cross 73,-0.13,0.13,AWAY,Holy Cross,0.13,-0.9
11/21/2025,Kentucky Wildcats,Loyola (MD) Greyhounds,Kentucky,Loyola MD,Kentucky,Loyola MD,-35.5,35.5,156.5,121.31,102.159,95.7785,112.467,25.5317,-10.3077,72.3627,69.6152,3.6,1.8,70.96236573,84.9,68.3,153.2,-29.39,29.39,99,29.4,Kentucky,Kentucky 85 – Loyola MD 68,-6.11,6.11,AWAY,Loyola MD,6.11,-3.3
11/21/2025,Wake Forest Demon Deacons,Memphis Tigers,Wake Forest,Memphis,Wake Forest,Memphis,-3.5,3.5,159.5,114.392,112.294,98.4934,100.585,15.8985,11.7089,74.171,73.2498,4.2,3.4,73.70752181,81.5,75.4,156.9,-7.71,7.71,78.324,7.7,Wake Forest,Wake Forest 82 – Memphis 75,4.21,-4.21,HOME,Wake Forest,4.21,-2.6
11/21/2025,New Mexico Lobos,Mississippi St Bulldogs,New Mexico,Mississippi St.,New Mexico,Mississippi St.,7.5,-7.5,153.5,106.725,115.904,100.098,102.115,6.62708,13.7882,71.295,72.0767,4.3,3.8,71.68371898,77.2,75.1,152.3,0.4,-0.4,48.32,0.4,Mississippi St.,New Mexico 77 – Mississippi St. 75,7.1,-7.1,HOME,New Mexico,7.1,-1.2
11/21/2025,Old Dominion Monarchs,Morgan St Bears,Old Dominion,Morgan St.,Old Dominion,Morgan St.,-14.5,14.5,156.5,104.952,98.5395,112.061,117.861,-7.10953,-19.3214,69.611,71.8324,3.1,2.8,70.70425621,80.5,72.7,153.2,-12.04,12.04,88.157,12,Old Dominion,Old Dominion 80 – Morgan St. 73,-2.46,2.46,AWAY,Morgan St.,2.46,-3.3
11/21/2025,Radford Highlanders,UNC Wilmington Seahawks,Radford,UNC Wilmington,Radford,UNC Wilmington,4.5,-4.5,150.5,104.244,112.165,111.746,107.23,-7.50213,4.93489,72.3234,67.3836,2.3,3,69.76616857,75,76.8,151.9,6.15,-6.15,26.416,6.1,UNC Wilmington,Radford 75 – UNC Wilmington 77,-1.65,1.65,AWAY,UNC Wilmington,1.65,1.4
11/21/2025,West Georgia Wolves,South Carolina Upstate Spartans,West Georgia,USC Upstate,West Georgia,USC Upstate,-3.5,3.5,153.5,102.26,100.837,113.945,113.842,-11.6856,-13.0052,70.391,72.0972,2.6,2.4,71.2338847,78.4,75.1,153.5,-3.8,3.8,65.324,3.8,West Georgia,West Georgia 78 – USC Upstate 75,0.3,-0.3,HOME,West Georgia,0.3,0
11/21/2025,Duke Blue Devils,Niagara Purple Eagles,Duke,Niagara,Duke,Niagara,-40.5,40.5,147.5,124.449,99.3077,93.6131,112.175,30.8357,-12.8672,70.1549,66.7866,3.3,2.5,68.42932558,82.8,64.2,147,-33.54,33.54,99,33.5,Duke,Duke 83 – Niagara 64,-6.96,6.96,AWAY,Niagara,6.96,-0.5
11/21/2025,N Colorado Bears,St. Thomas (MN) Tommies,Northern Colorado,St. Thomas,Northern Colorado,St. Thomas,3.5,-3.5,157.5,107.553,107.824,109.77,109.378,-2.2167,-1.55346,72.2415,69.9332,2.7,3.3,71.06861161,78.6,75.8,154.4,-2.5,2.5,60.263,2.5,Northern Colorado,Northern Colorado 79 – St. Thomas 76,6,-6,HOME,Northern Colorado,6,-3.1
11/21/2025,UAB Blazers,South Alabama Jaguars,UAB,South Alabama,UAB,South Alabama,-6.5,6.5,148.5,110.97,104.465,104.75,107.112,6.21961,-2.64694,74.466,66.9744,3.5,2.5,70.52179816,78.8,71.8,150.7,-10.1,10.1,84.341,10.1,UAB,UAB 79 – South Alabama 72,3.6,-3.6,HOME,UAB,3.6,2.2
11/21/2025,Arkansas Razorbacks,Jackson St Tigers,Arkansas,Jackson St.,Arkansas,Jackson St.,-29.5,29.5,162.5,116.424,100.357,99.5636,111.602,16.86,-11.2457,71.966,72.2421,3.8,2.6,72.10378569,84.3,70,154.3,-24.45,24.45,98.328,24.4,Arkansas,Arkansas 84 – Jackson St. 70,-5.05,5.05,AWAY,Jackson St.,5.05,-8.2
11/21/2025,Texas State Bobcats,Arkansas-Little Rock Trojans,Texas St.,Little Rock,Texas St.,Little Rock,-5.5,5.5,131.5,102.01,103.627,105.897,110.143,-3.88702,-6.51518,67.9901,67.9123,2.4,2.9,67.95117773,73.4,69.9,143.3,-4.43,4.43,67.648,4.4,Texas St.,Texas St. 73 – Little Rock 70,-1.07,1.07,AWAY,Little Rock,1.07,11.8
11/21/2025,Tulsa Golden Hurricane,Austin Peay Governors,Tulsa,Austin Peay,Tulsa,Austin Peay,-7.5,7.5,147.5,112.744,99.9224,106.874,103.332,5.87031,-3.40923,70.0182,71.9691,3.6,2.7,70.98024735,78.7,71.4,150.1,-10.55,10.55,85.293,10.5,Tulsa,Tulsa 79 – Austin Peay 71,3.05,-3.05,HOME,Tulsa,3.05,2.6
11/21/2025,Oregon St Beavers,Evansville Purple Aces,Oregon St.,Evansville,Oregon St.,Evansville,-7.5,7.5,137.5,110.74,101.7,109.272,111.063,1.4684,-9.36367,67.2047,69.3451,3.3,3.8,68.25812476,77.5,70.2,147.7,-11.02,11.02,86.263,11,Oregon St.,Oregon St. 78 – Evansville 70,3.52,-3.52,HOME,Oregon St.,3.52,10.2
11/21/2025,Saint Louis Billikens,Fort Wayne Mastodons,Saint Louis,Purdue Fort Wayne,Saint Louis,Purdue Fort Wayne,-19.5,19.5,166.5,113.833,104.434,99.7514,111.699,14.0819,-7.26449,74.6122,71.5803,4,2.8,73.06481057,84.6,72.4,157,-20,20,96.554,20,Saint Louis,Saint Louis 85 – Purdue Fort Wayne 72,0.5,-0.5,HOME,Saint Louis,0.5,-9.5
11/21/2025,South Dakota St Jackrabbits,Georgia St Panthers,South Dakota St.,Georgia St.,South Dakota St.,Georgia St.,-12.5,12.5,142.5,107.271,99.1452,108.37,110.315,-1.09849,-11.1697,70.3451,69.8923,3.5,2.8,70.117969,78.2,70.8,149,-10.91,10.91,86.04,10.9,South Dakota St.,South Dakota St. 78 – Georgia St. 71,-1.59,1.59,AWAY,Georgia St.,1.59,6.5
11/21/2025,Norfolk St Spartans,Hampton Pirates,Norfolk St.,Hampton,Norfolk St.,Hampton,-1.5,1.5,132.5,99.463,101.768,106.589,109.106,-7.12578,-7.33781,67.4883,68.5394,3.3,3.2,68.00978902,72.7,69,141.8,-3.77,3.77,65.227,3.8,Norfolk St.,Norfolk St. 73 – Hampton 69,2.27,-2.27,HOME,Norfolk St.,2.27,9.3
