Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,IsNeutral,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/30/2025,Ball State Cardinals,Le Moyne Dolphins,Ball St.,Le Moyne,Ball St.,Le Moyne,2.5,-2.5,140.5,TRUE,98.0582,104.726,112.167,116.579,-14.1091,-11.8536,66.5112,69.2924,2.7,2.2,67.8733211,72.8,73.6,146.4,1.53,-1.53,43.656,1.5,Le Moyne,Ball St. 73 – Le Moyne 74,0.97,-0.97,HOME,Ball St.,0.97,5.9
11/30/2025,La Salle Explorers,Merrimack Warriors,La Salle,Merrimack,La Salle,Merrimack,-3.5,3.5,131.5,TRUE,103.48,101.014,109.776,111.663,-6.2959,-10.6489,65.6008,67.0817,3.3,1.9,66.33298567,71.4,69.9,141.3,-2.89,2.89,61.804,2.9,La Salle,La Salle 71 – Merrimack 70,-0.61,0.61,AWAY,Merrimack,0.61,9.8
11/30/2025,Maine Black Bears,Siena Saints,Maine,Siena,Maine,Siena,11.5,-11.5,125.5,TRUE,93.6647,104.414,107.233,105.621,-13.5683,-1.20648,66.0458,66.6882,2.6,2.7,66.36544547,66.1,70.2,136.4,8.2,-8.2,20.305,8.2,Siena,Maine 66 – Siena 70,3.3,-3.3,HOME,Maine,3.3,10.9
11/30/2025,Princeton Tigers,Saint Joseph's Hawks,Princeton,Saint Joseph's,Princeton,Saint Joseph's,4.5,-4.5,147.5,TRUE,102.483,105.777,109.614,107.399,-7.13031,-1.62274,69.1323,71.2651,2.1,3.1,70.18250014,73.7,75.6,149.2,3.87,-3.87,34.429,3.9,Saint Joseph's,Princeton 74 – Saint Joseph's 76,0.63,-0.63,HOME,Princeton,0.63,1.7
11/30/2025,UNC Asheville Bulldogs,Appalachian St Mountaineers,UNC Asheville,Appalachian St.,UNC Asheville,Appalachian St.,-1.5,1.5,136.5,TRUE,105.729,102.572,112.29,112.547,-6.56195,-9.97561,68.241,63.6244,2.9,2.6,65.85188655,71.9,70.7,142.6,-2.25,2.25,59.258,2.2,UNC Asheville,UNC Asheville 72 – Appalachian St. 71,0.75,-0.75,HOME,UNC Asheville,0.75,6.1
11/30/2025,Bucknell Bison,Cornell Big Red,Bucknell,Cornell,Bucknell,Cornell,6.5,-6.5,161.5,FALSE,101.47,110.205,111.117,112.084,-9.64763,-1.87898,68.0515,73.8222,2.7,2.5,70.81948865,77.1,76.9,154,2.53,-2.53,39.605,2.5,Cornell,Bucknell 77 – Cornell 77,3.97,-3.97,HOME,Bucknell,3.97,-7.5
11/30/2025,Chattanooga Mocs,Tennessee St Tigers,Chattanooga,Tennessee St.,Chattanooga,Tennessee St.,-8.5,8.5,158.5,FALSE,110.174,103.258,112.662,108.179,-2.48766,-4.92066,67.0724,73.4819,2.6,3.5,70.13100829,78,74.3,152.3,-4.57,4.57,68.158,4.6,Chattanooga,Chattanooga 78 – Tennessee St. 74,-3.93,3.93,AWAY,Tennessee St.,3.93,-6.2
11/30/2025,Fairfield Stags,New Hampshire Wildcats,Fairfield,New Hampshire,Fairfield,New Hampshire,-11.5,11.5,147.5,FALSE,104.645,94.1608,114.078,113.321,-9.43368,-19.1603,70.2159,69.232,2.3,2.4,69.72047896,77.2,71.3,148.6,-9.31,9.31,82.519,9.3,Fairfield,Fairfield 77 – New Hampshire 71,-2.19,2.19,AWAY,New Hampshire,2.19,1.1
11/30/2025,William & Mary Tribe,Old Dominion Monarchs,William & Mary,Old Dominion,William & Mary,Old Dominion,-7.5,7.5,164.5,FALSE,108.726,107.268,106.474,112.34,2.25219,-5.07158,75.1425,68.2387,3,3.1,71.52439113,80.7,74.8,155.5,-8.54,8.54,80.582,8.5,William & Mary,William & Mary 81 – Old Dominion 75,1.04,-1.04,HOME,William & Mary,1.04,-9
11/30/2025,Quinnipiac Bobcats,Stonehill Skyhawks,Quinnipiac,Stonehill,Quinnipiac,Stonehill,-14.5,14.5,148.5,FALSE,105.994,94.9257,108.002,110.572,-2.00805,-15.646,73.1042,69.0854,2.3,2.3,71.03800698,78.2,70.8,149,-12.22,12.22,88.456,12.2,Quinnipiac,Quinnipiac 78 – Stonehill 71,-2.28,2.28,AWAY,Stonehill,2.28,0.5
11/30/2025,Robert Morris Colonials,Stetson Hatters,Robert Morris,Stetson,Robert Morris,Stetson,-13.5,13.5,142.5,FALSE,105.046,99.7978,107.736,115.454,-2.68975,-15.6562,67.6053,69.3768,2.8,2.2,68.47959517,77,69.5,146.6,-11.96,11.96,88.008,12,Robert Morris,Robert Morris 77 – Stetson 70,-1.54,1.54,AWAY,Stetson,1.54,4.1
11/30/2025,UTSA Roadrunners,South Alabama Jaguars,UTSA,South Alabama,UTSA,South Alabama,1.5,-1.5,137.5,FALSE,103.609,106.473,108.941,108.962,-5.33277,-2.48955,69.6663,65.4443,2.9,2.5,67.48933447,73.3,71.1,144.4,-1.27,1.27,55.277,1.3,UTSA,UTSA 73 – South Alabama 71,2.77,-2.77,HOME,UTSA,2.77,6.9
11/30/2025,Vermont Catamounts,Yale Bulldogs,Vermont,Yale,Vermont,Yale,6.5,-6.5,148.5,FALSE,111.028,120.326,113.402,108.684,-2.37397,11.6426,67.2443,67.1906,2.4,2.3,67.21743927,75.2,77.2,152.4,6.78,-6.78,24.411,6.8,Yale,Vermont 75 – Yale 77,-0.28,0.28,AWAY,Yale,0.28,3.9
11/30/2025,Pennsylvania Quakers,Hofstra Pride,Penn,Hofstra,Penn,Hofstra,1.5,-1.5,148.5,FALSE,108.633,105.073,112.823,103.625,-4.19022,1.44736,71.4044,69.7054,2.3,2.2,70.54467179,76.1,75.6,151.7,1.45,-1.45,44,1.4,Hofstra,Penn 76 – Hofstra 76,0.05,-0.05,HOME,Penn,0.05,3.2
11/30/2025,Lafayette Leopards,Monmouth Hawks,Lafayette,Monmouth,Lafayette,Monmouth,2.5,-2.5,141.5,FALSE,96.9717,105.126,111.531,110.639,-14.5591,-5.51317,68.5625,68.6005,2.2,3.1,68.58149474,72.4,73.1,145.5,3.78,-3.78,34.737,3.8,Monmouth,Lafayette 72 – Monmouth 73,-1.28,1.28,AWAY,Monmouth,1.28,4
11/30/2025,West Virginia Mountaineers,Mercyhurst Lakers,West Virginia,Mercyhurst,West Virginia,Mercyhurst,-22.5,22.5,125.5,FALSE,110.569,98.3333,98.9143,111.187,11.6547,-12.8537,65.5565,65.6367,4.5,2.4,65.59657549,75.2,62.2,137.4,-21.03,21.03,97.081,21,West Virginia,West Virginia 75 – Mercyhurst 62,-1.47,1.47,AWAY,Mercyhurst,1.47,11.9
11/30/2025,Texas Tech Red Raiders,Wyoming Cowboys,Texas Tech,Wyoming,Texas Tech,Wyoming,-21.5,21.5,154.5,FALSE,119.524,108.324,98.362,103.071,21.1624,5.25314,68.2785,70.2761,4.2,3.5,69.26289988,79.4,69.3,148.7,-15.64,15.64,93.128,15.6,Texas Tech,Texas Tech 79 – Wyoming 69,-5.86,5.86,AWAY,Wyoming,5.86,-5.8
11/30/2025,Coastal Carolina Chanticleers,Alabama A&M Bulldogs,Coastal Carolina,Alabama A&M,Coastal Carolina,Alabama A&M,-6.5,6.5,139.5,FALSE,101.228,98.6347,107.431,111.004,-6.20361,-12.3695,70.6817,68.1446,3,3,69.3899668,75.3,69.8,145.1,-7.58,7.58,77.956,7.6,Coastal Carolina,Coastal Carolina 75 – Alabama A&M 70,1.08,-1.08,HOME,Coastal Carolina,1.08,5.6
11/30/2025,Charleston Cougars,Belmont Bruins,Charleston,Belmont,Charleston,Belmont,3.5,-3.5,155.5,FALSE,108.271,109.987,109.096,100.779,-0.824708,9.20838,67.6559,72.2812,2.8,2.6,69.89211066,74.6,75,149.6,3.93,-3.93,34.178,3.9,Belmont,Charleston 75 – Belmont 75,-0.43,0.43,AWAY,Belmont,0.43,-5.9
11/30/2025,Florida Atlantic Owls,St. Bonaventure Bonnies,Florida Atlantic,St. Bonaventure,Florida Atlantic,St. Bonaventure,-2.5,2.5,145.5,FALSE,114.956,110.017,109.241,105.398,5.71581,4.61879,68.0539,67.7375,3,3.9,67.89533139,76.5,72.8,149.2,-4.04,4.04,66.243,4,Florida Atlantic,Florida Atlantic 76 – St. Bonaventure 73,1.54,-1.54,HOME,Florida Atlantic,1.54,3.7
11/30/2025,Fordham Rams,Colgate Raiders,Fordham,Colgate,Fordham,Colgate,1.5,-1.5,141.5,TRUE,105.316,107.72,109.602,109.779,-4.28566,-2.0592,65.9273,67.6952,2.4,2.2,66.79955485,71.8,72.6,144.4,1.49,-1.49,43.835,1.5,Colgate,Fordham 72 – Colgate 73,0.01,-0.01,HOME,Fordham,0.01,2.9
11/30/2025,American Eagles,Longwood Lancers,American,Longwood,American,Longwood,-4.5,4.5,148.5,FALSE,100.636,103.258,108.947,111.659,-8.31129,-8.40179,70.3655,71.0089,2.1,2.2,70.68573593,76.2,73.8,150,-2.37,2.37,59.764,2.4,American,American 76 – Longwood 74,-2.13,2.13,AWAY,Longwood,2.13,1.5
11/30/2025,North Texas Mean Green,Prairie View Panthers,North Texas,Prairie View A&M,North Texas,Prairie View A&M,-17.5,17.5,139.5,FALSE,105.204,98.6635,100.317,111.778,4.887,-13.1147,66.0928,72.3844,3.1,2.4,69.09567311,76.7,67,143.7,-15.85,15.85,93.348,15.8,North Texas,North Texas 77 – Prairie View A&M 67,-1.65,1.65,AWAY,Prairie View A&M,1.65,4.2
11/30/2025,Presbyterian Blue Hose,The Citadel Bulldogs,Presbyterian,The Citadel,Presbyterian,The Citadel,-7.5,7.5,131.5,TRUE,100.379,101.586,111.102,121.464,-10.7231,-19.8776,63.7121,67.1561,2.3,2.6,65.38878289,72.5,69.5,142.1,-5.99,5.99,73.06,6,Presbyterian,Presbyterian 72 – The Citadel 70,-1.51,1.51,AWAY,The Citadel,1.51,10.6
11/30/2025,Fresno St Bulldogs,CSU Bakersfield Roadrunners,Fresno St.,Cal St. Bakersfield,Fresno St.,Cal St. Bakersfield,-11.5,11.5,148.5,FALSE,106.737,100.941,105.646,110.296,1.09064,-9.35453,70.7778,70.2775,2.5,3,70.52676276,77.9,71.5,149.4,-10.12,10.12,84.371,10.1,Fresno St.,Fresno St. 78 – Cal St. Bakersfield 72,-1.38,1.38,AWAY,Cal St. Bakersfield,1.38,0.9
11/30/2025,Long Beach St 49ers,San Diego Toreros,Long Beach St.,San Diego,Long Beach St.,San Diego,2.5,-2.5,148.5,FALSE,102.992,104.714,112.184,111.891,-9.19214,-7.17647,68.7686,70.3019,2.2,2.1,69.52679742,75.9,74.2,150.1,-1.02,1.02,54.234,1,Long Beach St.,Long Beach St. 76 – San Diego 74,3.52,-3.52,HOME,Long Beach St.,3.52,1.6
11/30/2025,San José St Spartans,UC Irvine Anteaters,San Jose St.,UC Irvine,San Jose St.,UC Irvine,2.5,-2.5,137.5,FALSE,106.661,99.4279,109.184,96.9956,-2.52227,2.43225,65.8552,71.2662,3,2.1,68.45393723,71.4,69.8,141.1,0.09,-0.09,49.618,0.1,UC Irvine,San Jose St. 71 – UC Irvine 70,2.41,-2.41,HOME,San Jose St.,2.41,3.6
11/30/2025,Loyola (MD) Greyhounds,Coppin St Eagles,Loyola MD,Coppin St.,Loyola MD,Coppin St.,-12.5,12.5,141.5,FALSE,101.382,90.9371,112.557,114.983,-11.1754,-24.0464,68.3861,69.9296,1.8,2.3,69.14923785,75.8,69.4,145.2,-10.88,10.88,85.977,10.9,Loyola MD,Loyola MD 76 – Coppin St. 69,-1.62,1.62,AWAY,Coppin St.,1.62,3.7
