Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,IsNeutral,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
12/1/2025,Villanova Wildcats,Temple Owls,Villanova,Temple,Villanova,Temple,-14.5,14.5,148.5,FALSE,118.201,113.043,101.25,112.782,16.9507,0.261006,66.1705,68.9315,3.7,2.9,67.52278753,80,70.3,150.3,-15.34,15.34,92.801,15.3,Villanova,Villanova 80 – Temple 70,0.84,-0.84,HOME,Villanova,0.84,1.8
12/1/2025,Cincinnati Bearcats,Tarleton State Texans,Cincinnati,Tarleton St.,Cincinnati,Tarleton St.,-17.5,17.5,146.5,FALSE,104.993,106.32,92.8843,109.358,12.1085,-3.0379,71.8993,69.7073,3.7,3.2,70.78633446,77.9,68.5,146.4,-14.79,14.79,92.167,14.8,Cincinnati,Cincinnati 78 – Tarleton St. 68,-2.71,2.71,AWAY,Tarleton St.,2.71,-0.1
12/1/2025,Delaware Blue Hens,Iona Gaels,Delaware,Iona,Delaware,Iona,1.5,-1.5,154.5,FALSE,105.732,106.823,111.545,109.429,-5.81271,-2.60569,67.7318,73.304,2.4,2.8,70.40782365,77.1,75.6,152.6,-0.38,0.38,51.591,0.4,Delaware,Delaware 77 – Iona 76,1.88,-1.88,HOME,Delaware,1.88,-1.9
12/1/2025,Jacksonville St Gamecocks,North Alabama Lions,Jacksonville St.,North Alabama,Jacksonville St.,North Alabama,-5.5,5.5,134.5,FALSE,99.5215,103.854,104.514,112.391,-4.99225,-8.53693,66.8671,67.4173,2.4,2.8,67.14107284,72.5,68.6,141.1,-5.02,5.02,69.776,5,Jacksonville St.,Jacksonville St. 72 – North Alabama 69,-0.48,0.48,AWAY,North Alabama,0.48,6.6
12/1/2025,Xavier Musketeers,St. Francis (PA) Red Flash,Xavier,Saint Francis,Xavier,Saint Francis,-27.5,27.5,151.5,FALSE,111.499,94.0266,101.465,113.711,10.0332,-19.6844,70.9988,71.0126,3.4,2.4,71.00569933,81.8,67.5,149.4,-24.84,24.84,98.433,24.8,Xavier,Xavier 82 – Saint Francis 68,-2.66,2.66,AWAY,Saint Francis,2.66,-2.1
12/1/2025,Troy Trojans,West Georgia Wolves,Troy,West Georgia,Troy,West Georgia,-16.5,16.5,148.5,FALSE,107.951,101.259,104.887,113.035,3.0643,-11.7763,69.6429,69.3941,2.8,2.6,69.51827739,78.4,70.1,148.5,-13.4,13.4,90.316,13.4,Troy,Troy 78 – West Georgia 70,-3.1,3.1,AWAY,West Georgia,3.1,0
12/1/2025,Incarnate Word Cardinals,McNeese Cowboys,Incarnate Word,McNeese,Incarnate Word,McNeese,7.5,-7.5,144.5,FALSE,109.843,113.019,113.104,101.77,-3.26084,11.2485,67.2492,67.4614,2.4,2.5,67.35513287,72.6,74.8,147.4,7.13,-7.13,23.347,7.1,McNeese,Incarnate Word 73 – McNeese 75,0.37,-0.37,HOME,Incarnate Word,0.37,2.9
12/1/2025,Middle Tennessee Blue Raiders,UAB Blazers,Middle Tennessee,UAB,Middle Tennessee,UAB,3.5,-3.5,154.5,FALSE,108.513,112.708,108.72,104.718,-0.207038,7.98997,68.952,70.9199,3.7,3.5,69.92210651,76.6,75.4,152,1.66,-1.66,43.121,1.7,UAB,Middle Tennessee 77 – UAB 75,1.84,-1.84,HOME,Middle Tennessee,1.84,-2.5
12/1/2025,Kansas St Wildcats,Bowling Green Falcons,Kansas St.,Bowling Green,Kansas St.,Bowling Green,-12.5,12.5,159.5,FALSE,117.472,105.37,102.686,102.566,14.7856,2.804,73.5337,71.2805,3.7,2.9,72.38957095,81.7,73.3,154.9,-12.74,12.74,89.32,12.7,Kansas St.,Kansas St. 82 – Bowling Green 73,0.24,-0.24,HOME,Kansas St.,0.24,-4.6
12/1/2025,Colorado Buffaloes,Cal Baptist Lancers,Colorado,Cal Baptist,Colorado,Cal Baptist,-13.5,13.5,147.5,FALSE,118.225,106.797,105.026,103.492,13.199,3.3052,69.6709,68.6765,3.9,3,69.17012627,78.8,71.1,149.9,-11.13,11.13,86.478,11.1,Colorado,Colorado 79 – Cal Baptist 71,-2.37,2.37,AWAY,Cal Baptist,2.37,2.4
12/1/2025,Stanford Cardinal,Portland Pilots,Stanford,Portland,Stanford,Portland,-17.5,17.5,155.5,FALSE,111.054,103.624,101.818,110.502,9.23584,-6.87839,71.3242,71.0265,3.3,1.8,71.17503871,80.7,71.3,152,-15.1,15.1,92.529,15.1,Stanford,Stanford 81 – Portland 71,-2.4,2.4,AWAY,Portland,2.4,-3.5
