Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,IsNeutral,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/23/2025,SIU-Edwardsville Cougars,Alabama St Hornets,SIUE,Alabama St.,SIUE,Alabama St.,-2.5,2.5,142.5,TRUE,99.8563,101.851,105.09,108.651,-5.23331,-6.80026,68.4289,71.0497,2.8,2.3,69.71467761,72.7,72.1,144.8,-1.09,1.09,54.539,1.1,SIUE,SIUE 73 – Alabama St. 72,-1.41,1.41,AWAY,Alabama St.,1.41,2.3
11/23/2025,Miami (OH) RedHawks,Arkansas-Pine Bluff Golden Lions,Miami OH,Arkansas Pine Bluff,Miami OH,Arkansas Pine Bluff,-21.5,21.5,161.5,FALSE,109.781,95.8159,106.655,118.44,3.12637,-22.6237,71.1103,73.822,3.1,2,72.44078189,84.4,71.6,156,-22.06,22.06,97.533,22.1,Miami OH,Miami OH 84 – Arkansas Pine Bluff 72,0.56,-0.56,HOME,Miami OH,0.56,-5.5
11/23/2025,Canisius Golden Griffins,Binghamton Bearcats,Canisius,Binghamton,Canisius,Binghamton,-2.5,2.5,129.5,FALSE,97.4712,98.2238,115.03,115.444,-17.5584,-17.2204,66.6115,67.9144,2.4,2.7,67.25664063,72.9,70.4,143.3,-2.41,2.41,59.92,2.4,Canisius,Canisius 73 – Binghamton 70,-0.09,0.09,AWAY,Binghamton,0.09,13.8
11/23/2025,Georgia Bulldogs,Clemson Tigers,Georgia,Clemson,Georgia,Clemson,1.5,-1.5,152.5,TRUE,117.415,118.752,99.4568,98.7839,17.958,19.9682,74.3329,66.952,3.6,3.5,70.44965627,76.2,76.9,153,1.42,-1.42,44.126,1.4,Clemson,Georgia 76 – Clemson 77,0.08,-0.08,HOME,Georgia,0.08,0.5
11/23/2025,Miami Hurricanes,Delaware St Hornets,Miami FL,Delaware St.,Miami FL,Delaware St.,-35.5,35.5,151.5,FALSE,114.488,93.8624,99.5616,114.718,14.9268,-20.856,72.6032,68.8873,2.9,2.9,70.69645551,82.6,66.8,149.4,-28.49,28.49,99,28.5,Miami FL,Miami FL 83 – Delaware St. 67,-7.01,7.01,AWAY,Delaware St.,7.01,-2.1
11/23/2025,North Florida Ospreys,Prairie View Panthers,North Florida,Prairie View A&M,North Florida,Prairie View A&M,4.5,-4.5,160.5,TRUE,103.644,97.8718,118.945,110.915,-15.3014,-13.0427,73.0819,72.8591,2.5,2.4,72.97032993,78.3,79.1,157.4,1.65,-1.65,43.175,1.6,Prairie View A&M,North Florida 78 – Prairie View A&M 79,2.85,-2.85,HOME,North Florida,2.85,-3.1
11/23/2025,Oklahoma Sooners,Alcorn St Braves,Oklahoma,Alcorn St.,Oklahoma,Alcorn St.,-32.5,32.5,160.5,FALSE,120.126,100.053,106.385,115.372,13.7411,-15.3185,69.5422,70.6142,4.1,2.8,70.07410035,84.8,70.1,154.8,-24.87,24.87,98.441,24.9,Oklahoma,Oklahoma 85 – Alcorn St. 70,-7.63,7.63,AWAY,Alcorn St.,7.63,-5.7
11/23/2025,Maine Black Bears,Brown Bears,Maine,Brown,Maine,Brown,2.5,-2.5,127.5,FALSE,95.6972,100.5,107.227,109.504,-11.5299,-9.00339,67.1144,67.5593,2.6,1.8,67.33611513,70.5,68.5,139,-1.16,1.16,54.813,1.2,Maine,Maine 70 – Brown 68,3.66,-3.66,HOME,Maine,3.66,11.5
11/23/2025,CSU Fullerton Titans,N Colorado Bears,Cal St. Fullerton,Northern Colorado,Cal St. Fullerton,Northern Colorado,8.5,-8.5,164.5,TRUE,99.4599,105.996,113.07,108.144,-13.6105,-2.14781,75.5042,71.9676,2.1,2.7,73.69349345,76.5,80.7,157.2,8.45,-8.45,19.657,8.4,Northern Colorado,Cal St. Fullerton 76 – Northern Colorado 81,0.05,-0.05,HOME,Cal St. Fullerton,0.05,-7.3
11/23/2025,Central Arkansas Bears,Eastern Washington Eagles,Central Arkansas,Eastern Washington,Central Arkansas,Eastern Washington,5.5,-5.5,155.5,FALSE,97.461,107.906,114.232,111.358,-16.7714,-3.45113,70.6684,71.2822,2.7,2.3,70.97397295,75.6,77.3,152.9,6.48,-6.48,25.338,6.5,Eastern Washington,Central Arkansas 76 – Eastern Washington 77,-0.98,0.98,AWAY,Eastern Washington,0.98,-2.6
