Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,IsNeutral,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/29/2025,Indiana Hoosiers,Bethune-Cookman Wildcats,Indiana,Bethune Cookman,Indiana,Bethune Cookman,-28.5,28.5,149.5,FALSE,118.313,104.743,96.5869,110.356,21.7265,-5.61365,68.8202,68.2267,3.2,2.3,68.52216488,80.1,67.2,147.3,-22.25,22.25,97.608,22.3,Indiana,Indiana 80 – Bethune Cookman 67,-6.25,6.25,AWAY,Bethune Cookman,6.25,-2.2
11/29/2025,Navy Midshipmen,SE Louisiana Lions,Navy,Southeastern Louisiana,Navy,Southeastern Louisiana,-4.5,4.5,136.5,TRUE,105.707,98.7427,107.43,106.968,-1.72294,-8.22528,69.1041,68.4324,1.6,2.2,68.76660978,73.1,70.9,144,-4.47,4.47,67.814,4.5,Navy,Navy 73 – Southeastern Louisiana 71,-0.03,0.03,AWAY,Southeastern Louisiana,0.03,7.5
11/29/2025,Louisiana Tech Bulldogs,Alcorn St Braves,Louisiana Tech,Alcorn St.,Louisiana Tech,Alcorn St.,-13.5,13.5,136.5,FALSE,100.867,99.3293,104.393,112.995,-3.52669,-13.6657,66.4131,70.8059,3.2,2.8,68.53918652,75,68.1,143.1,-10.47,10.47,85.13,10.5,Louisiana Tech,Louisiana Tech 75 – Alcorn St. 68,-3.03,3.03,AWAY,Alcorn St.,3.03,6.6
11/29/2025,Army Knights,Manhattan Jaspers,Army,Manhattan,Army,Manhattan,1.5,-1.5,154.5,FALSE,99.2045,108.991,117.539,120.692,-18.3345,-11.7014,69.0393,69.6232,2.3,1.7,69.33002061,77.5,77.3,154.8,2.07,-2.07,41.465,2.1,Manhattan,Army 78 – Manhattan 77,-0.57,0.57,AWAY,Manhattan,0.57,0.3
11/29/2025,Northern Kentucky Norse,Boston Univ. Terriers,Northern Kentucky,Boston University,Northern Kentucky,Boston University,-5.5,5.5,143.5,FALSE,105.663,109.71,109.358,116.395,-3.69547,-6.68501,69.9564,64.6465,2.9,2.1,67.19671586,76.2,72,148.2,-5.2,5.2,70.401,5.2,Northern Kentucky,Northern Kentucky 76 – Boston University 72,-0.3,0.3,AWAY,Boston University,0.3,4.7
11/29/2025,Niagara Purple Eagles,Detroit Mercy Titans,Niagara,Detroit Mercy,Niagara,Detroit Mercy,1.5,-1.5,142.5,FALSE,97.9765,101.145,113.11,114.612,-15.1331,-13.4666,66.7971,71.7748,2.5,2.8,69.19654696,74.9,72.8,147.7,-1.6,1.6,56.615,1.6,Niagara,Niagara 75 – Detroit Mercy 73,3.1,-3.1,HOME,Niagara,3.1,5.2
11/29/2025,Longwood Lancers,Maine Black Bears,Longwood,Maine,Longwood,Maine,-5.5,5.5,138.5,TRUE,103.348,93.9496,111.712,107.169,-8.36409,-13.2194,71.5826,66.6943,2.2,2.6,69.05204556,72.7,71,143.7,-3.35,3.35,63.617,3.4,Longwood,Longwood 73 – Maine 71,-2.15,2.15,AWAY,Maine,2.15,5.2
11/29/2025,UCF Knights,VMI Keydets,UCF,VMI,UCF,VMI,-26.5,26.5,157.5,FALSE,118.946,100.732,105.65,117.075,13.2968,-16.3436,70.8753,68.9386,3.5,2.4,69.89353643,84.4,70.2,154.6,-24.57,24.57,98.361,24.6,UCF,UCF 84 – VMI 70,-1.93,1.93,AWAY,VMI,1.93,-2.9
11/29/2025,Harvard Crimson,Bryant Bulldogs,Harvard,Bryant,Harvard,Bryant,-8.5,8.5,138.5,FALSE,107.01,97.9725,109.644,110.973,-2.63429,-13.0003,66.7631,68.7404,2.1,2.7,67.73732338,75,69.2,144.1,-9.33,9.33,82.567,9.3,Harvard,Harvard 75 – Bryant 69,0.83,-0.83,HOME,Harvard,0.83,5.6
11/29/2025,Saint Peter's Peacocks,Dartmouth Big Green,Saint Peter's,Dartmouth,Saint Peter's,Dartmouth,-2.5,2.5,144.5,FALSE,99.808,101.587,110.998,113.048,-11.1904,-11.4607,67.2058,73.031,2.6,2.6,69.99741551,75.9,73,148.9,-3.05,3.05,62.438,3,Saint Peter's,Saint Peter's 76 – Dartmouth 73,0.55,-0.55,HOME,Saint Peter's,0.55,4.4
11/29/2025,UMBC Retrievers,Delaware St Hornets,UMBC,Delaware St.,UMBC,Delaware St.,-13.5,13.5,135.5,FALSE,102.895,93.4311,113.484,115.446,-10.5882,-22.0146,69.6494,68.2768,1.8,2.9,68.95627015,76.3,70.4,146.6,-9.86,9.86,83.797,9.9,UMBC,UMBC 76 – Delaware St. 70,-3.64,3.64,AWAY,Delaware St.,3.64,11.1
11/29/2025,George Mason Patriots,James Madison Dukes,George Mason,James Madison,George Mason,James Madison,-12.5,12.5,142.5,FALSE,113.229,113.183,100.403,113.723,12.8266,-0.53981,66.4194,67.2774,3.3,2.8,66.84564689,77.7,69.6,147.2,-12.56,12.56,89.033,12.6,George Mason,George Mason 78 – James Madison 70,0.06,-0.06,HOME,George Mason,0.06,4.7
11/29/2025,Georgia Bulldogs,Tennessee Tech Golden Eagles,Georgia,Tennessee Tech,Georgia,Tennessee Tech,-34.5,34.5,160.5,FALSE,118.222,98.7674,100.316,111.849,17.9061,-13.0818,74.3545,70.1325,3.6,2.8,72.18181527,85,69.9,154.9,-26.33,26.33,98.773,26.3,Georgia,Georgia 85 – Tennessee Tech 70,-8.17,8.17,AWAY,Tennessee Tech,8.17,-5.6
11/29/2025,Georgia Southern Eagles,Houston Christian Huskies,Georgia Southern,Houston Christian,Georgia Southern,Houston Christian,-7.5,7.5,148.5,FALSE,104.57,101.087,112.301,110.769,-7.73049,-9.68222,73.2678,66.0602,2.5,2.4,69.47757122,76.2,72.8,148.9,-4.11,4.11,66.471,4.1,Georgia Southern,Georgia Southern 76 – Houston Christian 73,-3.39,3.39,AWAY,Houston Christian,3.39,0.4
11/29/2025,High Point Panthers,Western Carolina Catamounts,High Point,Western Carolina,High Point,Western Carolina,-16.5,16.5,160.5,FALSE,117.933,101.728,107.236,108.97,10.6967,-7.24233,70.7108,71.8304,2.7,2.9,71.26620301,82.3,73,155.3,-15.75,15.75,93.25,15.8,High Point,High Point 82 – Western Carolina 73,-0.75,0.75,AWAY,Western Carolina,0.75,-5.2
11/29/2025,Hofstra Pride,Merrimack Warriors,Hofstra,Merrimack,Hofstra,Merrimack,-5.5,5.5,135.5,TRUE,104.45,101.957,104.616,111.021,-0.166434,-9.06438,69.5742,66.9787,2.2,1.9,68.25178329,73.5,70.5,144,-6.07,6.07,73.344,6.1,Hofstra,Hofstra 74 – Merrimack 70,0.57,-0.57,HOME,Hofstra,0.57,8.5
11/29/2025,IUPUI Jaguars,Morehead St Eagles,IU Indy,Morehead St.,IU Indy,Morehead St.,-2.5,2.5,181.5,FALSE,104.903,101.936,120.338,113.326,-15.4343,-11.3895,78.4373,68.2016,2.7,2.9,72.96221343,81.1,79.6,160.7,-0.02,0.02,50.078,0,IU Indy,IU Indy 81 – Morehead St. 80,-2.48,2.48,AWAY,Morehead St.,2.48,-20.8
11/29/2025,Le Moyne Dolphins,Monmouth Hawks,Le Moyne,Monmouth,Le Moyne,Monmouth,5.5,-5.5,145.5,TRUE,102.956,104.867,116.229,108.853,-13.2723,-3.98601,69.2161,68.5435,2.2,3.1,68.87815804,72.9,76.1,149.1,6.4,-6.4,25.616,6.4,Monmouth,Le Moyne 73 – Monmouth 76,-0.9,0.9,AWAY,Monmouth,0.9,3.6
11/29/2025,Lehigh Mountain Hawks,Texas State Bobcats,Lehigh,Texas St.,Lehigh,Texas St.,6.5,-6.5,134.5,TRUE,99.9454,101.158,110.819,105.474,-10.8735,-4.31577,69.7732,66.6595,2.1,2.4,68.18081919,70,72.3,142.3,4.47,-4.47,32.187,4.5,Texas St.,Lehigh 70 – Texas St. 72,2.03,-2.03,HOME,Lehigh,2.03,7.8
11/29/2025,Nebraska Cornhuskers,South Carolina Upstate Spartans,Nebraska,USC Upstate,Nebraska,USC Upstate,-25.5,25.5,157.5,FALSE,118.906,101.034,101.517,112.757,17.3895,-11.7228,71.5569,71.0203,3.3,2.4,71.28759023,84.4,70.4,154.8,-24.38,24.38,98.311,24.4,Nebraska,Nebraska 84 – USC Upstate 70,-1.12,1.12,AWAY,USC Upstate,1.12,-2.7
11/29/2025,Northwestern St Demons,Southern Jaguars,Northwestern St.,Southern,Northwestern St.,Southern,4.5,-4.5,144.5,FALSE,105.069,104.229,116.571,107.631,-11.5023,-3.40263,66.589,72.7773,2.3,3.2,69.54576005,75.2,75.5,150.7,3.1,-3.1,37.352,3.1,Southern,Northwestern St. 75 – Southern 76,1.4,-1.4,HOME,Northwestern St.,1.4,6.2
11/29/2025,Stetson Hatters,Southern Utah Thunderbirds,Stetson,Southern Utah,Stetson,Southern Utah,1.5,-1.5,148.5,TRUE,100.602,99.7065,116.109,113.096,-15.5072,-13.39,69.6117,71.0156,2.2,2.9,70.30664234,75.1,75.9,151,1.49,-1.49,43.829,1.5,Southern Utah,Stetson 75 – Southern Utah 76,0.01,-0.01,HOME,Stetson,0.01,2.5
11/29/2025,UNC Wilmington Seahawks,Gardner-Webb Bulldogs,UNC Wilmington,Gardner Webb,UNC Wilmington,Gardner Webb,-20.5,20.5,146.5,FALSE,113.971,97.4759,106.283,116.58,7.68867,-19.104,65.921,72.811,3,2,69.19490717,81.4,68.8,150.3,-21.84,21.84,97.442,21.8,UNC Wilmington,UNC Wilmington 81 – Gardner Webb 69,1.34,-1.34,HOME,UNC Wilmington,1.34,3.8
11/29/2025,SE Missouri St Redhawks,Lipscomb Bisons,Southeast Missouri,Lipscomb,Southeast Missouri,Lipscomb,-3.5,3.5,154.5,FALSE,103.615,105.224,109.162,106.292,-5.54667,-1.0681,71.7908,69.9736,3.2,2.2,70.87055316,76.1,74.2,150.3,-0.35,0.35,51.441,0.3,Southeast Missouri,Southeast Missouri 76 – Lipscomb 74,-3.15,3.15,AWAY,Lipscomb,3.15,-4.2
11/29/2025,UT-Arlington Mavericks,Stephen F. Austin Lumberjacks,UT Arlington,Stephen F. Austin,UT Arlington,Stephen F. Austin,-1.5,1.5,140.5,FALSE,103.984,106.941,105.628,105.847,-1.64367,1.09456,69.5624,68.3067,2.5,3.2,68.9288316,73.7,71.9,145.6,-0.86,0.86,53.588,0.9,UT Arlington,UT Arlington 74 – Stephen F. Austin 72,-0.64,0.64,AWAY,Stephen F. Austin,0.64,5.1
11/29/2025,Valparaiso Beacons,Western Michigan Broncos,Valparaiso,Western Michigan,Valparaiso,Western Michigan,-4.5,4.5,146.5,FALSE,101.806,103.804,109.158,110.423,-7.35206,-6.61925,67.3904,71.0212,2.8,2.7,69.1581786,74.9,72.1,147,-2.57,2.57,60.56,2.6,Valparaiso,Valparaiso 75 – Western Michigan 72,-1.93,1.93,AWAY,Western Michigan,1.93,0.5
11/29/2025,South Dakota Coyotes,Air Force Falcons,South Dakota,Air Force,South Dakota,Air Force,-4.5,4.5,147.5,TRUE,105.719,98.9812,115.902,111.105,-10.1824,-12.1241,72.6349,66.0388,3,3.5,69.17997622,75,74.3,149.3,-1.34,1.34,55.574,1.3,South Dakota,South Dakota 75 – Air Force 74,-3.16,3.16,AWAY,Air Force,3.16,1.8
11/29/2025,American Eagles,Siena Saints,American,Siena,American,Siena,1.5,-1.5,137.5,FALSE,103.054,106.31,111.198,107.628,-8.14352,-1.31758,69.7948,66.4416,2.1,2.7,68.07693368,72.9,72.9,145.7,2.34,-2.34,40.384,2.3,Siena,American 73 – Siena 73,-0.84,0.84,AWAY,Siena,0.84,8.2
11/29/2025,Arizona Wildcats,Norfolk St Spartans,Arizona,Norfolk St.,Arizona,Norfolk St.,-36.5,36.5,147.5,FALSE,122.468,100.242,95.1053,106.339,27.3629,-6.09759,71.597,65.9304,3.6,3.3,68.64695833,80.5,65.1,145.6,-26.93,26.93,98.888,26.9,Arizona,Arizona 80 – Norfolk St. 65,-9.57,9.57,AWAY,Norfolk St.,9.57,-1.9
11/29/2025,East Tennessee St Buccaneers,Central Arkansas Bears,East Tennessee St.,Central Arkansas,East Tennessee St.,Central Arkansas,-11.5,11.5,144.5,FALSE,108.562,102.009,105.854,111.924,2.70793,-9.91555,68.4104,69.6785,2.6,2.7,69.03862738,77.5,70.3,147.9,-11.58,11.58,87.316,11.6,East Tennessee St.,East Tennessee St. 78 – Central Arkansas 70,0.08,-0.08,HOME,East Tennessee St.,0.08,3.4
