Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,IsNeutral,AdjOE_A,AdjOE_B,AdjDE_A,AdjDE_B,AdjEM_A,AdjEM_B,AdjTempo_A,AdjTempo_B,HomeCourtAdv_A,HomeCourtAdv_B,PredPoss,ModelScore_A,ModelScore_B,ModelTotal,HomeModelSpread,AwayModelSpread,WinProb_A_pct,PredictedMargin,PredictedWinner,PredictedScoreboard,HomeValue,AwayValue,EdgeSide,EdgeTeam,EdgePoints,TotalEdge
11/22/2025,Georgetown Hoyas,Wagner Seahawks,Georgetown,Wagner,Georgetown,Wagner,-26.5,26.5,140.5,FALSE,112.383,96.5299,100.21,110.951,12.1734,-14.4215,70.6396,67.4645,2.9,2,69.01555123,78.7,66.3,145,-21.54,21.54,97.316,21.5,Georgetown,Georgetown 79 – Wagner 66,-4.96,4.96,AWAY,Wagner,4.96,4.5
11/22/2025,Navy Midshipmen,NJIT Highlanders,Navy,NJIT,Navy,NJIT,-17.5,17.5,140.5,FALSE,104.695,93.2714,106.601,110.309,-1.90501,-17.0372,70.5452,70.6548,1.6,2.3,70.59995746,76.8,69.7,146.5,-12.44,12.44,88.834,12.4,Navy,Navy 77 – NJIT 70,-5.06,5.06,AWAY,NJIT,5.06,6
11/22/2025,Le Moyne Dolphins,Fairfield Stags,Le Moyne,Fairfield,Le Moyne,Fairfield,1.5,-1.5,147.5,FALSE,101.367,101.228,114.779,110.069,-13.4118,-8.84097,69.9343,70.9655,2.2,2.3,70.44612649,75.7,74.9,150.6,0.8,-0.8,46.672,0.8,Fairfield,Le Moyne 76 – Fairfield 75,0.7,-0.7,HOME,Le Moyne,0.7,3.1
11/22/2025,Harvard Crimson,Boston Univ. Terriers,Harvard,Boston University,Harvard,Boston University,-4.5,4.5,136.5,TRUE,106.831,105.325,108.123,113.678,-1.29226,-8.35368,67.4251,65.462,2.1,2.1,66.42904987,73.2,70.9,144.1,-4.69,4.69,68.607,4.7,Harvard,Harvard 73 – Boston University 71,0.19,-0.19,HOME,Harvard,0.19,7.6
11/22/2025,Marquette Golden Eagles,Central Michigan Chippewas,Marquette,Central Michigan,Marquette,Central Michigan,-25.5,25.5,152.5,FALSE,112.108,101.725,99.878,113.358,12.2296,-11.6326,73.4795,69.2681,3.6,2.4,71.31167675,82.4,69.9,152.3,-20.98,20.98,97.058,21,Marquette,Marquette 82 – Central Michigan 70,-4.52,4.52,AWAY,Central Michigan,4.52,-0.2
11/22/2025,Kent State Golden Flashes,Cleveland St Vikings,Kent St.,Cleveland St.,Kent St.,Cleveland St.,-15.5,15.5,174.5,FALSE,113.2,107.03,109.805,117.113,3.3943,-10.0837,72.6315,72.9892,2.8,3.1,72.80991068,85.4,77.4,162.8,-12.89,12.89,89.556,12.9,Kent St.,Kent St. 85 – Cleveland St. 77,-2.61,2.61,AWAY,Cleveland St.,2.61,-11.7
11/22/2025,Dayton Flyers,North Carolina Central Eagles,Dayton,North Carolina Central,Dayton,North Carolina Central,-29.5,29.5,146.5,FALSE,112.595,99.6283,99.2872,116.313,13.308,-16.6847,69.1732,68.617,3.3,3.5,68.89397743,80.7,66.7,147.4,-24.29,24.29,98.286,24.3,Dayton,Dayton 81 – North Carolina Central 67,-5.21,5.21,AWAY,North Carolina Central,5.21,0.9
11/22/2025,Illinois Fighting Illini,LIU Sharks,Illinois,LIU,Illinois,LIU,-34.5,34.5,161.5,FALSE,123.182,99.5974,96.8018,108.258,26.38,-8.66027,72.5515,72.5629,3.1,2.2,72.55719955,85.7,69.5,155.2,-28.83,28.83,99,28.8,Illinois,Illinois 86 – LIU 70,-5.67,5.67,AWAY,LIU,5.67,-6.3
11/22/2025,Oklahoma St Cowboys,Nicholls St Colonels,Oklahoma St.,Nicholls,Oklahoma St.,Nicholls,-24.5,24.5,154.5,FALSE,114.664,99.9479,99.7929,108.259,14.8712,-8.31108,75.5264,69.5616,3.8,2.7,72.42138876,82.8,70.2,153,-20.97,20.97,97.054,21,Oklahoma St.,Oklahoma St. 83 – Nicholls 70,-3.53,3.53,AWAY,Nicholls,3.53,-1.5
11/22/2025,Saint Peter's Peacocks,UMass Lowell River Hawks,Saint Peter's,UMass Lowell,Saint Peter's,UMass Lowell,-8.5,8.5,150.5,FALSE,100.596,104.561,111.9,118.732,-11.3038,-14.1709,67.0972,71.5186,2.6,2.3,69.23738575,77.4,73.5,150.9,-4.85,4.85,69.158,4.8,Saint Peter's,Saint Peter's 77 – UMass Lowell 74,-3.65,3.65,AWAY,UMass Lowell,3.65,0.4
11/22/2025,Binghamton Bearcats,Maryland-Eastern Shore Hawks,Binghamton,Maryland Eastern Shore,Binghamton,Maryland Eastern Shore,-8.5,8.5,125.5,TRUE,99.5458,92.4194,114.672,108.785,-15.1266,-16.3655,68.8542,65.2747,2.7,3.1,67.01668691,69.8,69.4,139.2,-0.83,0.83,53.454,0.8,Binghamton,Binghamton 70 – Maryland Eastern Shore 69,-7.67,7.67,AWAY,Maryland Eastern Shore,7.67,13.7
