Date,HomeTeam_raw,AwayTeam_raw,HomeTeam,AwayTeam,Team_A,Team_B,HomeMarketSpread,AwayMarketSpread,MarketTotal,A_Team,B_Team,A_AdjOE,B_AdjOE,A_AdjDE,B_AdjDE,A_AdjEM,B_AdjEM,A_AdjTempo,B_AdjTempo,A_HomeCourtAdv,B_HomeCourtAdv,HomeModelSpread,AwayModelSpread,HomeMarketSpread_model,AwayMarketSpread_model,ModelTotal,WinProb_Home_pct,HomeSpreadEdge,AwaySpreadEdge,TotalEdge,EdgeSide,EdgeTeam,EdgePoints
11/19/2025,Longwood Lancers,Maryland-Eastern Shore Hawks,Longwood,Maryland Eastern Shore,Longwood,Maryland Eastern Shore,-18.5,18.5,142.5,Longwood,Maryland Eastern Shore,105.59,91.2863,109.757,109.117,-4.16656,-17.8309,72.275,66.9689,2.2,3.1,15.86,-15.86,18.5,-18.5,137.1,89.2,-2.64,2.64,-5.4,AWAY,Maryland Eastern Shore,2.64
11/19/2025,Morgan St Bears,North Carolina A&T Aggies,Morgan St.,North Carolina A&T,Morgan St.,North Carolina A&T,1.5,-1.5,159.5,Morgan St.,North Carolina A&T,98.224,97.5044,116.794,111.686,-18.5701,-14.1813,72.7994,74.0601,2.8,3.5,-1.59,1.59,-1.5,1.5,143.7,44.7,-0.09,0.09,-15.8,AWAY,North Carolina A&T,0.09
11/19/2025,North Carolina Tar Heels,Navy Midshipmen,North Carolina,Navy,North Carolina,Navy,-25.5,25.5,161.5,North Carolina,Navy,119.183,105.718,97.9379,107.946,21.2447,-2.22827,73.736,71.0159,3.4,1.6,26.87,-26.87,25.5,-25.5,162.8,97.3,1.37,-1.37,1.3,HOME,North Carolina,1.37
11/19/2025,Providence Friars,New Hampshire Wildcats,Providence,New Hampshire,Providence,New Hampshire,-26.5,26.5,158.5,Providence,New Hampshire,115.951,96.2977,103.923,113.702,12.0278,-17.4047,74.4483,71.3641,3.2,2.4,32.63,-32.63,26.5,-26.5,154.7,98,6.13,-6.13,-3.8,HOME,Providence,6.13
11/19/2025,Seton Hall Pirates,New Haven Chargers,Seton Hall,New Haven,Seton Hall,New Haven,-23.5,23.5,126.5,Seton Hall,New Haven,107.772,93.0442,98.6874,111.941,9.08435,-18.8973,67.5089,67.7536,3.1,2.2,31.08,-31.08,23.5,-23.5,135.8,98,7.58,-7.58,9.3,HOME,Seton Hall,7.58
11/19/2025,Xavier Musketeers,Old Dominion Monarchs,Xavier,Old Dominion,Xavier,Old Dominion,-10.5,10.5,150.5,Xavier,Old Dominion,108.207,105.198,103.113,110.451,5.09342,-5.25252,72.214,69.2708,3.4,3.1,13.75,-13.75,10.5,-10.5,151,86.2,3.25,-3.25,0.5,HOME,Xavier,3.25
11/19/2025,South Carolina Gamecocks,Radford Highlanders,South Carolina,Radford,South Carolina,Radford,-10.5,10.5,155.5,South Carolina,Radford,111.957,105.324,104.159,111.085,7.79759,-5.7615,69.0201,72.2832,3.3,2.3,16.86,-16.86,10.5,-10.5,153.5,90.4,6.36,-6.36,-2,HOME,South Carolina,6.36
11/19/2025,Georgia Tech Yellow Jackets,Georgia Southern Eagles,Georgia Tech,Georgia Southern,Georgia Tech,Georgia Southern,-10.5,10.5,162.5,Georgia Tech,Georgia Southern,106.581,108.99,97.2663,114.996,9.31455,-6.00671,72.7365,74.7804,2.7,2.5,18.02,-18.02,10.5,-10.5,159,91.7,7.52,-7.52,-3.5,HOME,Georgia Tech,7.52
11/19/2025,Texas State Bobcats,Abilene Christian Wildcats,Texas St.,Abilene Christian,Texas St.,Abilene Christian,-1.5,1.5,138.5,Texas St.,Abilene Christian,102.289,101.392,107.415,105.258,-5.12532,-3.86649,68.9416,70.9134,2.4,2.9,1.14,-1.14,1.5,-1.5,142.4,53.8,-0.36,0.36,3.9,AWAY,Abilene Christian,0.36
11/19/2025,LSU Tigers,Alcorn St Braves,LSU,Alcorn St.,LSU,Alcorn St.,-30.5,30.5,157.5,LSU,Alcorn St.,117.208,98.6635,99.5285,113.861,17.6795,-15.1978,71.4174,71.1132,3.6,2.8,36.48,-36.48,30.5,-30.5,153.8,98,5.98,-5.98,-3.7,HOME,LSU,5.98
