"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Abilene Christian",46.9298245614035,263,18.3772856749058,202,33.8461538461538,127,35.0877192982456,205
2026,"Air Force",49.5192307692308,204,25.5171785291169,358,31.6176470588235,167,38.4615384615385,153
2026,"Akron",53.7313432835821,108,11.27586401308,13,33.6283185840708,132,33.3333333333333,224
2026,"Alabama",56.3414634146341,65,12.334122570343,20,27.5862068965517,258,28.780487804878,292
2026,"Alabama A&M",44.7368421052632,306,18.3044315992293,199,24.5454545454545,314,32.7485380116959,237
2026,"Alabama St.",44.6700507614213,309,17.4291938997821,168,29.0076335877863,224,25.8883248730964,323
2026,"Albany",38.9502762430939,359,26.7712900992384,360,36.5853658536585,75,28.1767955801105,300
2026,"Alcorn St.",49.8175182481752,195,24.3962283991728,350,24.8447204968944,309,27.7372262773723,307
2026,"American",51.9125683060109,150,20.589201620852,290,21.8181818181818,344,26.775956284153,316
2026,"Appalachian St.",48.9130434782609,220,14.875560217412,76,32.1917808219178,154,37.8260869565217,168
2026,"Arizona",55.6485355648536,76,18.8727803036802,218,37.6923076923077,62,39.3305439330544,140
2026,"Arizona St.",51.0204081632653,167,14.7614445127845,70,27.8145695364238,253,31.4285714285714,256
2026,"Arkansas",53.5433070866142,115,13.5346614219854,48,29.7297297297297,204,37.7952755905512,169
2026,"Arkansas Pine Bluff",43.042071197411,326,20.4996796925048,286,29.064039408867,222,29.4498381877023,284
2026,"Arkansas St.",47.4285714285714,250,20.9698558322412,303,33.6363636363636,131,51.4285714285714,29
2026,"Army",44.8087431693989,304,21.0136708256223,305,27.8260869565217,251,18.0327868852459,360
2026,"Auburn",52.34375,143,13.333918154305,44,45.1612903225806,6,49.21875,43
2026,"Austin Peay",46.5909090909091,270,20.3389830508475,282,26.0504201680672,287,39.2045454545455,146
2026,"BYU",55.1181102362205,83,11.2711902922329,12,33.0882352941176,139,29.5275590551181,283
2026,"Ball St.",50.6849315068493,173,20.02002002002,270,21.2765957446809,347,46.5753424657534,56
2026,"Baylor",58.9887640449438,26,15.7489172619382,103,29.7872340425532,203,45.5056179775281,66
2026,"Bellarmine",50.5649717514124,179,19.7270329166189,258,25.2427184466019,301,27.683615819209,309
2026,"Belmont",57.5581395348837,46,19.7420078519349,260,28.4210526315789,232,43.6046511627907,84
2026,"Bethune Cookman",50,186,15.8685179937659,111,30.5785123966942,187,21.1822660098522,351
2026,"Binghamton",44.9519230769231,299,23.7377887336803,344,29.5454545454545,210,43.2692307692308,87
2026,"Boise St.",54.4910179640719,99,17.3119663118493,162,34.7368421052632,111,50.8982035928144,34
2026,"Boston College",46.1832061068702,276,12.8451005753535,33,33.1360946745562,138,29.3893129770992,285
2026,"Boston University",55.3811659192825,78,20.1549650615582,277,33.3333333333333,134,29.1479820627803,288
2026,"Bowling Green",52.8795811518325,130,12.2901849217639,19,28.0373831775701,244,35.6020942408377,196
2026,"Bradley",45.9641255605381,279,15.2229068503081,85,23.2876712328767,329,43.0493273542601,90
2026,"Brown",49.3303571428571,207,20.6737090266129,294,27.5862068965517,258,32.1428571428571,244
2026,"Bryant",40.9090909090909,348,20.1167489896722,276,28.3950617283951,234,24.3801652892562,335
2026,"Bucknell",47.4729241877256,248,18.3006535947712,198,26.9662921348315,270,36.8231046931408,181
2026,"Buffalo",53.6184210526316,114,13.6579196964907,49,30.3921568627451,193,68.4210526315789,2
2026,"Butler",57.27969348659,53,19.492710205712,244,44.9664429530201,7,47.8927203065134,52
2026,"CSUN",51.8367346938776,152,23.2432656788279,339,36.3013698630137,81,35.1020408163265,204
2026,"Cal Baptist",47.4619289340102,249,14.6243373347145,66,43.801652892562,13,28.4263959390863,296
2026,"Cal Poly",47.5190839694656,247,22.8716645489199,334,31.7073170731707,165,27.8625954198473,306
2026,"Cal St. Bakersfield",46.2962962962963,273,21.697857336588,316,33.3333333333333,134,48.1481481481481,50
2026,"Cal St. Fullerton",42.1717171717172,334,15.866388308977,110,22.962962962963,333,38.3838383838384,156
2026,"California",55.7377049180328,73,16.4291701592624,132,32.089552238806,156,40.9836065573771,113
2026,"Campbell",47.8125,240,20.9591069597904,301,30.3921568627451,193,56.25,12
2026,"Canisius",46.5968586387435,269,25.0931189962752,353,30.1587301587302,199,41.3612565445026,108
2026,"Central Arkansas",38.8888888888889,360,16.0133444537114,116,24.0875912408759,322,26.7676767676768,317
2026,"Central Connecticut",41.8994413407821,339,16.0150730098917,118,25.8928571428571,290,30.7262569832402,264
2026,"Central Michigan",48.9754098360656,219,18.4141300263059,203,36.551724137931,77,23.3606557377049,339
2026,"Charleston",49.375,205,14.6554558692282,67,38.5135135135135,49,37.9166666666667,164
2026,"Charleston Southern",49.8054474708171,196,19.4884287454324,243,32.5153374233129,146,27.6264591439689,310
2026,"Charlotte",50.8733624454148,171,17.3644607370249,164,42.9577464788732,17,41.0480349344978,111
2026,"Chattanooga",50.6329113924051,175,17.120146744115,153,18.75,355,40.5063291139241,123
2026,"Chicago St.",45.5128205128205,287,19.6551870207989,252,27.891156462585,248,37.1794871794872,176
2026,"Cincinnati",51.304347826087,160,20.9948320413437,304,28.3783783783784,235,53.4782608695652,18
2026,"Clemson",53.6741214057508,113,10.8482748229622,10,39.344262295082,37,38.0191693290735,161
2026,"Cleveland St.",53.1512605042017,120,20.4073235959679,284,37.3239436619718,66,47.0588235294118,55
2026,"Coastal Carolina",48.3050847457627,234,17.7756987486844,185,26.7857142857143,274,32.2033898305085,243
2026,"Colgate",54.1666666666667,100,15.4268337906994,91,19.1780821917808,353,27.1739130434783,313
2026,"Colorado",57.3839662447257,50,13.4566862910008,45,35.0746268656716,102,59.4936708860759,7
2026,"Colorado St.",64.6511627906977,2,15.3976152473946,89,36.3636363636364,79,47.4418604651163,53
