UT Rio Grande Valley,2.5
Pacific,2.5
Louisiana,2.5
Fresno St.,2.5
McNeese,2.5
Hawaii,2.5
Niagara,2.5
Sacramento St.,2.5
Stony Brook,2.5
Mississippi Valley St.,2.5
New Orleans,2.4
New Hampshire,2.4
Team,HCA
Mercyhurst,2.4
Saint Francis,2.4
Fordham,2.4
Houston Christian,2.4
Bellarmine,2.4
Jacksonville St.,2.4
Santa Clara,2.4
Delaware,2.4
Rice,2.4
Prairie View A&M,2.4
VMI,2.4
Vermont,2.4
USC Upstate,2.4
Texas St.,2.4
Central Michigan,2.4
Incarnate Word,2.4
Canisius,2.4
NJIT,2.3
Northwestern St.,2.3
Marist,2.3
Eastern Illinois,2.3
Alabama St.,2.3
UNC Greensboro,2.3
Fairfield,2.3
Bethune Cookman,2.3
Quinnipiac,2.3
UC Riverside,2.3
Coppin St.,2.3
Presbyterian,2.3
Penn,2.3
Army,2.3
Toledo,2.3
UMass Lowell,2.3
Yale,2.3
Eastern Washington,2.3
Wofford,2.3
Radford,2.3
Sacred Heart,2.3
Stonehill,2.3
Longwood,2.2
Team,HCA
Le Moyne,2.2
LIU,2.2
Colgate,2.2
Northern Illinois,2.2
Southeastern Louisiana,2.2
CSUN,2.2
Long Beach St.,2.2
Lafayette,2.2
New Haven,2.2
Lipscomb,2.2
East Texas A&M,2.2
Stetson,2.2
Hofstra,2.2
UC Santa Barbara,2.2
Northeastern,2.1
American,2.1
Harvard,2.1
Boston University,2.1
Princeton,2.1
Lehigh,2.1
Mount St. Mary's,2.1
Albany,2.1
Pepperdine,2.1
San Diego,2.1
Holy Cross,2.1
Cal St. Fullerton,2.1
UC Irvine,2.1
Charleston Southern,2
Rider,2
Arkansas Pine Bluff,2
Wagner,2
Grambling St.,2
Gardner Webb,2
Columbia,2
UC San Diego,1.9
Merrimack,1.9
Brown,1.8
Loyola MD,1.8
UMBC,1.8
Portland,1.8
Central Connecticut,1.8
UC Davis,1.7
Manhattan,1.7
Navy,1.6
Fairleigh Dickinson,1.5
