"Season","TeamName","FG2Pct","RankFG2Pct","FG3Pct","RankFG3Pct","FTPct","RankFTPct","BlockPct","RankBlockPct","OppFG2Pct","RankOppFG2Pct","OppFG3Pct","RankOppFG3Pct","OppFTPct","RankOppFTPct","OppBlockPct","RankOppBlockPct","FG3Rate","RankFG3Rate","OppFG3Rate","RankOppFG3Rate","ARate","RankARate","OppARate","RankOppARate","StlRate","RankStlRate","OppStlRate","RankOppStlRate","DFP","NSTRate","RankNSTRate","OppNSTRate","RankOppNSTRate"
2026,"Abilene Christian",48.1927710843374,252,29.0322580645161,270,80,27,14.2857142857143,51,46.4285714285714,78,45.2380952380952,359,66.6666666666667,83,9.63855421686747,183,27.1929824561403,354,42.8571428571429,254,55.1020408163265,140,53.3333333333333,188,0.0882109712395479,236,0.117614628319397,287,NULL,6.61582284296609,107,8.82109712395479,121
2026,"Air Force",48.8,241,33.7349397590361,156,55,364,5.67375886524823,306,53.9007092198582,227,36.046511627907,256,63.8297872340426,40,11.2,243,39.9038461538462,174,37.8854625550661,140,57.3033707865169,108,52.3364485981308,169,0.123940581427139,56,0.127585892645585,319,NULL,12.7585892645585,355,6.19702907135697,278
2026,"Akron",50.9433962264151,199,37.8947368421053,72,77.6119402985075,57,9.1743119266055,186,47.7064220183486,99,35.7142857142857,248,76.7857142857143,296,16.0377358490566,348,47.2636815920398,56,43.5233160621762,271,62.2222222222222,53,54.8780487804878,224,0.13531036815696,27,0.063144838473248,29,NULL,4.9613801657552,33,7.6675875288944,199
2026,"Alabama",63,19,33.3333333333333,165,72.8813559322034,149,12.0300751879699,90,49.6240601503759,145,34.4827586206897,222,66.25,79,5,29,51.219512195122,21,30.3664921465969,23,53.0612244897959,171,54.6511627906977,219,0.110126094378063,123,0.0792907879522053,69,NULL,4.40504377512252,19,3.08353064258576,362
2026,"Alabama A&M",40.6779661016949,339,35.8490566037736,110,71.4285714285714,176,9.18367346938776,185,63.265306122449,345,30.4347826086957,113,71.4285714285714,178,5.93220338983051,52,30.9941520467836,330,41.3173652694611,211,46.2686567164179,282,57.8313253012048,260,0.1252408477842,51,0.0963391136801541,171,NULL,8.67052023121387,235,8.1888246628131,165
2026,"Alabama St.",39.5161290322581,349,35.6164383561644,114,60.7843137254902,344,5.12820512820513,321,58.1196581196581,299,31.3253012048193,141,80.8823529411765,350,11.2903225806452,249,37.0558375634518,230,41.5,213,58.6666666666667,86,55.3191489361702,231,0.102787553767946,163,0.0893804815373443,126,NULL,8.49114574604771,222,6.70353611530082,252
2026,"Albany",46.3917525773196,281,20.2380952380952,357,68.6274509803922,233,6.42201834862385,275,55.9633027522936,269,23.5294117647059,21,75.2577319587629,264,10.3092783505155,214,46.4088397790055,70,38.4180790960452,150,61.2903225806452,60,51.9480519480519,158,0.120009231479345,77,0.156935148857604,354,NULL,11.077775213478,335,4.61573967228248,339
2026,"Alcorn St.",45.8823529411765,288,37.5,79,67.1052631578947,271,10.9947643979058,117,62.303664921466,337,34.020618556701,210,72.5925925925926,210,8.82352941176471,150,37.956204379562,211,33.6805555555556,67,47.008547008547,272,53.9473684210526,200,0.112166567352518,115,0.114970731536331,278,NULL,12.8991552455396,357,8.13207613305759,168
2026,"American",62.1052631578947,31,27.2727272727273,297,71.4285714285714,176,5.88235294117647,298,53.921568627451,229,41.8918918918919,347,78.6516853932584,325,9.47368421052632,176,48.0874316939891,42,42.0454545454545,232,43.3734939759036,314,58.1395348837209,267,0.0963749863103713,190,0.148943160661483,351,NULL,5.69488555470376,59,8.76136239185193,126
2026,"Appalachian St.",50,214,31.6326530612245,209,63.2183908045977,322,8.69565217391304,205,46.9565217391304,89,35.4166666666667,244,78.7878787878788,328,7.57575757575758,103,42.6086956521739,123,45.4976303317536,306,51.5463917525773,200,62.5,320,0.0877276628206351,239,0.0572136931438924,22,NULL,9.15419090302279,263,7.62849241918566,203
2026,"Arizona",54.0229885057471,126,40,36,77.6595744680851,55,11.6564417177914,97,42.9447852760736,36,31.7073170731707,149,69.4444444444444,137,6.32183908045977,62,27.1966527196653,353,33.469387755102,62,64.1666666666667,39,47.9166666666667,101,0.120099511023419,76,0.113236681822081,268,NULL,7.54911212147208,163,9.26481942180664,88
2026,"Arizona St.",51.6778523489933,180,33.3333333333333,165,67.5324675324675,262,13.8461538461538,55,47.6923076923077,97,27.7227722772277,72,75.3086419753086,266,9.39597315436242,173,39.1836734693878,185,43.7229437229437,274,56.8807339449541,116,54.4444444444444,213,0.112468148668834,113,0.0702925929180213,46,NULL,7.73218522098234,176,11.2468148668834,30
2026,"Arkansas",55.7823129251701,96,33.6448598130841,161,78.125,46,10.3896103896104,137,46.7532467532468,87,24.3243243243243,26,64.1975308641975,42,6.12244897959184,60,42.1259842519685,129,41.8867924528302,229,58.4745762711864,89,56.5656565656566,249,0.104893626020387,145,0.0676733071099268,40,NULL,6.76733071099268,114,3.72203189104598,354
