"Season","TeamName","eFGPct","RankeFGPct","TOPct","RankTOPct","ORPct","RankORPct","FTRate","RankFTRate"
2026,"Abilene Christian",55.6122448979592,292,17.6421942479096,183,20.9677419354839,14,58.1632653061224,355
2026,"Air Force",53.9647577092511,257,18.5910872140709,151,33.8129496402878,231,41.4096916299559,244
2026,"Akron",50.259067357513,159,21.1986243445904,65,36.4406779661017,284,29.0155440414508,72
2026,"Alabama",50.261780104712,160,14.0961400803921,313,29.7520661157025,147,41.8848167539267,250
2026,"Alabama A&M",55.9880239520958,298,20.7129094412331,78,32.258064516129,198,33.5329341317365,136
2026,"Alabama St.",53.5,241,16.9822914920954,206,39.4736842105263,330,34,146
2026,"Albany",48.0225988700565,121,16.6166628202169,226,41.1214953271028,340,54.8022598870056,346
2026,"Alcorn St.",58.5069444444444,329,19.3487328683094,120,42.2077922077922,347,46.875,305
2026,"American",57.6704545454545,323,18.3988610228891,158,33,221,50.5681818181818,327
2026,"Appalachian St.",49.7630331753555,151,16.4012587012492,232,30.0751879699248,160,46.9194312796209,307
2026,"Arizona",44.4897959183673,61,21.2747705241486,63,30,155,29.3877551020408,75
2026,"Arizona St.",45.021645021645,68,22.4936297337668,37,30.2631578947368,163,35.0649350649351,166
2026,"Arkansas",42.4528301886792,36,14.2113944930846,309,29.2397660818713,138,30.5660377358491,89
2026,"Arkansas Pine Bluff",56.5625,302,14.8352945143127,287,41.340782122905,342,46.875,305
2026,"Arkansas St.",55.026455026455,279,15.7273918741809,255,30.8411214953271,170,41.2698412698413,241
2026,"Army",61.271676300578,350,13.8499194077965,319,32.6086956521739,214,43.9306358381503,274
2026,"Auburn",47.4206349206349,111,16.4919514013773,229,26.1744966442953,69,21.8253968253968,16
2026,"Austin Peay",46.4497041420118,90,22.5988700564972,34,28.2051282051282,118,42.0118343195266,252
2026,"BYU",48.7394957983193,130,17.0885788301595,202,27.027027027027,89,26.0504201680672,41
2026,"Ball St.",57.4712643678161,319,25.025025025025,10,38.7096774193548,321,16.0919540229885,3
2026,"Baylor",51.5544041450777,191,20.2486079082063,93,34.6153846153846,254,20.7253886010363,12
2026,"Bellarmine",68.1034482758621,365,16.5156554650763,228,32.9113924050633,219,41.9540229885057,251
2026,"Belmont",43.1693989071038,39,21.9854178351094,44,30.8333333333333,169,30.0546448087432,81
2026,"Bethune Cookman",60.1648351648352,344,13.6015868517994,322,36.3636363636364,283,50.5494505494505,326
2026,"Binghamton",51.3725490196078,187,10.22550899297,362,35.1351351351351,261,32.9411764705882,128
2026,"Boise St.",49.4011976047904,146,19.1835302374547,127,19.5876288659794,8,34.1317365269461,148
2026,"Boston College",42.914979757085,37,14.6291423219303,294,26.3157894736842,71,33.1983805668016,134
2026,"Boston University",57.488986784141,321,14.4507296667776,300,31.496062992126,180,34.3612334801762,155
2026,"Bowling Green",50.974025974026,175,27.3115220483642,6,23.6559139784946,37,37.012987012987,191
2026,"Bradley",52.093023255814,209,25.0090612540776,11,32.824427480916,218,33.4883720930233,135
2026,"Brown",50.2092050209205,158,17.7721358298953,177,38.7323943661972,322,38.0753138075314,205
2026,"Bryant",50.398406374502,162,14.0098787606646,315,30.5194805194805,165,28.2868525896414,61
2026,"Bucknell",51.3986013986014,189,18.5911401597676,150,32.2222222222222,196,41.2587412587413,240
2026,"Buffalo",54.7297297297297,275,22.7631994941511,29,27.2727272727273,97,41.2162162162162,239
2026,"Butler",46.9811320754717,100,19.492710205712,114,26.7080745341615,79,22.6415094339623,19
2026,"CSUN",53.5849056603774,243,11.9536794919686,351,26.3157894736842,71,30.5660377358491,89
2026,"Cal Baptist",44.2771084337349,58,15.5992931570288,262,20.353982300885,11,43.9759036144578,275
2026,"Cal Poly",54.8,277,17.15374841169,199,27.5862068965517,103,41.2,238
2026,"Cal St. Bakersfield",54.2372881355932,263,18.08154778049,166,41.0071942446043,338,39.8305084745763,226
2026,"Cal St. Fullerton",54.7368421052632,276,15.866388308977,248,26.3157894736842,71,44.2105263157895,277
2026,"California",49.5918367346939,150,18.7761944677284,141,27.027027027027,89,32.6530612244898,123
2026,"Campbell",51.3297872340426,185,15.9471465998405,245,32.4324324324324,207,38.2978723404255,212
2026,"Canisius",57.4786324786325,320,11.3703195451872,354,36.0655737704918,281,32.9059829059829,127
2026,"Central Arkansas",56.6326530612245,307,12.0100083402836,349,27.1028037383178,93,31.6326530612245,105
2026,"Central Connecticut",46.0975609756098,85,15.0730098916627,277,34.7107438016529,255,20,10
2026,"Central Michigan",46.7672413793103,94,15.0319428786171,281,32.7044025157233,216,40.948275862069,233
2026,"Charleston",53.8306451612903,252,13.9038940297806,318,35.8974358974359,279,32.258064516129,115
2026,"Charleston Southern",50,153,13.4402956865051,326,32.0987654320988,195,37.8787878787879,201
2026,"Charlotte",52.60663507109,223,16.9785838317577,207,29.5454545454545,141,44.5497630331754,284
2026,"Chattanooga",62.3529411764706,358,14.6744114949557,291,41.1764705882353,341,47.6470588235294,313
2026,"Chicago St.",58.7336244541485,332,18.9774219511162,135,37.3015873015873,305,55.0218340611354,347
2026,"Cincinnati",41.2133891213389,22,22.9328165374677,28,22.1518987341772,22,28.8702928870293,69
2026,"Clemson",40.6028368794326,12,16.8750941690523,211,26.8041237113402,82,32.9787234042553,130
2026,"Cleveland St.",55.2434456928839,283,13.1660152232051,333,36.7088607594937,293,46.0674157303371,299
2026,"Coastal Carolina",47.8915662650602,118,14.5012279265583,296,18.018018018018,2,48.7951807228916,319
2026,"Colgate",47.6038338658147,115,13.3501446265668,327,38.974358974359,324,38.0191693290735,203
2026,"Colorado",54.2,259,14.4659377628259,298,23.2394366197183,32,31.6,103
2026,"Colorado St.",51.9911504424779,202,14.270960473195,308,21.6216216216216,19,33.6283185840708,138
2026,"Columbia",51.1834319526627,181,15.8602317080726,250,24.7619047619048,48,34.9112426035503,161
2026,"Connecticut",43.4579439252336,44,20.8914265480459,72,23.4042553191489,33,41.588785046729,246
2026,"Coppin St.",55.2197802197802,282,16.0210425633668,241,38.6473429951691,320,37.6373626373626,198
2026,"Cornell",56.8306010928962,312,14.9903554698264,282,29.0909090909091,137,50.2732240437158,325
2026,"Creighton",48.9690721649485,137,18.1017029891628,164,33.6283185840708,229,17.0103092783505,4
2026,"Dartmouth",54.5212765957447,271,15.0702134946912,278,24.7619047619048,48,25.531914893617,38
2026,"Davidson",44.6022727272727,64,16.9174068032143,209,34.453781512605,249,44.3181818181818,279
2026,"Dayton",52.0361990950226,205,24.3476704113145,14,31.1594202898551,176,33.0316742081448,131
2026,"DePaul",49.5348837209302,147,19.3713128467025,118,23.8805970149254,40,41.3953488372093,243
2026,"Delaware",53.90625,254,15.1745068285281,274,43.6619718309859,352,22.65625,20
2026,"Delaware St.",60.9223300970874,348,17.4482006543075,186,24.1071428571429,41,37.378640776699,197
2026,"Denver",56.4315352697095,300,14.1042448352244,312,31.0606060606061,174,31.1203319502075,99
2026,"Detroit Mercy",58.695652173913,331,15.9784075573549,243,32.0388349514563,193,47.8260869565217,315
2026,"Drake",45.8490566037736,82,15.7249954287804,256,33.9285714285714,234,18.1132075471698,7
2026,"Drexel",55.3892215568862,288,14.608314565707,295,29.5454545454545,141,43.1137724550898,261
2026,"Duke",38.0769230769231,2,21.9122666554296,48,28.804347826087,131,21.5384615384615,15
2026,"Duquesne",45.3389830508475,72,18.6162476625805,148,35.2201257861635,263,56.3559322033898,351
2026,"East Carolina",55.6034482758621,291,16.2048290390536,237,26.865671641791,85,56.8965517241379,353
2026,"East Tennessee St.",47.8915662650602,118,23.3903880124261,26,34.5794392523364,253,36.7469879518072,189
2026,"East Texas A&M",55.7575757575758,295,21.3007024699751,61,34.7368421052632,256,55.7575757575758,349
2026,"Eastern Illinois",49.7916666666667,152,17.8637886118348,171,41.8300653594771,346,38.75,216
2026,"Eastern Kentucky",54.3165467625899,267,8.77119001433752,365,32.5,210,31.6546762589928,106
2026,"Eastern Michigan",51.3736263736264,188,19.862578670824,105,28.1818181818182,117,26.3736263736264,44
2026,"Eastern Washington",59.1463414634146,335,15.6983192560362,258,28.6821705426357,127,33.739837398374,141
2026,"Elon",58.3756345177665,327,16.7761161083825,219,33.6283185840708,229,32.48730964467,119
2026,"Evansville",56.6666666666667,308,13.5351066829589,324,31.8181818181818,187,27.5,56
2026,"FIU",62.109375,357,18.7232668872569,142,33.3333333333333,225,32.8125,125
2026,"Fairfield",48.5342019543974,127,14.666712788405,293,21.6216216216216,19,29.9674267100977,79
2026,"Fairleigh Dickinson",61.6666666666667,352,15.9328785118013,246,31.8181818181818,187,45,292
2026,"Florida",41.1877394636015,21,15.6561900661474,261,24.7191011235955,47,42.911877394636,260
2026,"Florida A&M",56.6,304,18.6300489841805,145,42.8571428571429,348,47.6,312
2026,"Florida Atlantic",53.7837837837838,249,14.8595309960529,286,30.188679245283,162,32.972972972973,129
2026,"Florida Gulf Coast",61.9318181818182,355,12.9032258064516,342,26.3736263736264,75,46.5909090909091,303
2026,"Florida St.",46.9444444444444,98,23.8069933042831,20,32.2314049586777,197,43.3333333333333,264
2026,"Fordham",54.2372881355932,263,14.4506806012515,301,25.9259259259259,64,18.0790960451977,6
2026,"Fresno St.",54.2253521126761,261,24.9714235469973,12,27.0676691729323,92,38.0281690140845,204
2026,"Furman",55.8659217877095,296,13.1283048684131,337,23.7623762376238,38,25.1396648044693,31
2026,"Gardner Webb",60.4712041884817,347,14.7134892809932,290,39.8058252427184,334,38.2198952879581,210
2026,"George Mason",40.7738095238095,15,19.2539109506619,123,22.5,24,32.1428571428571,113
2026,"George Washington",45.748987854251,78,19.5923788966834,111,26.5822784810127,77,31.9838056680162,110
2026,"Georgetown",43.1818181818182,40,18.4798542934565,154,27.027027027027,89,48.1818181818182,317
2026,"Georgia",41.25,23,27.9451352390719,3,35.4545454545455,275,25.3125,33
2026,"Georgia Southern",53.8277511961723,251,18.8265497138578,140,45.3781512605042,358,36.3636363636364,178
2026,"Georgia St.",47.7366255144033,116,19.2885087799108,121,36.9127516778523,299,30.4526748971193,87
2026,"Georgia Tech",38.6831275720165,5,22.7048371174729,31,27.8787878787879,106,35.3909465020576,170
2026,"Gonzaga",38.5964912280702,4,22.6751248481576,32,22.6415094339623,25,36.4912280701754,181
2026,"Grambling St.",54.5197740112994,270,20.062096966802,99,44,354,41.8079096045198,248
2026,"Grand Canyon",51.3157894736842,183,20.7315518926038,77,23.134328358209,30,34.2105263157895,149
2026,"Green Bay",57.9545454545455,326,9.98659207545425,363,24.2424242424242,44,51.8181818181818,332
2026,"Hampton",56.5610859728507,301,19.6651361254116,110,38.28125,318,40.2714932126697,231
2026,"Harvard",49.3212669683258,145,20.120533383951,97,26.6187050359712,78,27.1493212669683,50
2026,"Hawaii",42.1985815602837,32,19.0351391427291,131,23.4375,34,38.2978723404255,212
2026,"High Point",46.2222222222222,88,23.7357650857367,21,35.3741496598639,272,42.2222222222222,255
2026,"Hofstra",52,203,21.6191870284878,57,36.5384615384615,286,48,316
2026,"Holy Cross",56.6945606694561,309,11.8742409931183,353,26.984126984127,87,33.0543933054393,132
2026,"Houston",40.625,13,20.622493794157,81,28.5714285714286,121,40.8653846153846,232
2026,"Houston Christian",53.4782608695652,240,19.3617784152026,119,18.75,4,17.3913043478261,5
2026,"Howard",57.1428571428571,316,21.6256066842784,56,35.9550561797753,280,30.952380952381,94
2026,"IU Indy",57.4349442379182,318,20.5165781278622,86,45.4545454545455,359,51.6728624535316,330
2026,"Idaho",55.2147239263804,281,13.9063717556794,317,19.1489361702128,6,44.7852760736196,290
2026,"Idaho St.",61.7088607594937,353,18.1430096051227,163,29.8701298701299,151,24.6835443037975,29
2026,"Illinois",44.0074906367041,49,10.3734439834025,359,18.4049079754601,3,14.6067415730337,1
2026,"Illinois Chicago",44.2934782608696,60,22.2038502421165,40,41.025641025641,339,33.1521739130435,133
2026,"Illinois St.",50.8510638297872,170,10.3756708407871,358,24.4755244755245,45,44.2553191489362,278
2026,"Incarnate Word",60.3960396039604,345,15.3934962478353,270,37.037037037037,300,55.4455445544554,348
2026,"Indiana",44.017094017094,51,17.8030977390066,174,25,52,33.7606837606838,142
2026,"Indiana St.",51.25,182,16.1448422994868,238,43.6363636363636,351,32,111
2026,"Iona",48.3490566037736,125,19.0744554026227,129,39.344262295082,328,22.1698113207547,17
2026,"Iowa",50,153,24.264933457134,15,26.8041237113402,82,35.0649350649351,166
2026,"Iowa St.",49.2990654205607,144,28.4356130358443,2,25.1851851851852,55,26.1682242990654,42
2026,"Jackson St.",55.6372549019608,294,15.8344172368942,251,47.9674796747967,362,44.1176470588235,276
2026,"Jacksonville",53.3132530120482,236,15.7875852170793,253,29.0322580645161,135,46.9879518072289,308
2026,"Jacksonville St.",41.2698412698413,24,11.9827747612807,350,30,155,25.3968253968254,37
2026,"James Madison",50.8810572687225,171,15.9639076869686,244,32.3943661971831,205,53.7444933920705,343
2026,"Kansas",42.0502092050209,30,15.8651462568171,249,22.6993865030675,26,26.7782426778243,46
2026,"Kansas City",59.6446700507614,339,15.4525386313466,266,36.7924528301887,297,34.5177664974619,157
2026,"Kansas St.",51.8,197,18.7076923076923,143,29.9319727891156,154,32,111
2026,"Kennesaw St.",45.7364341085271,77,13.1106602153894,338,34.1772151898734,242,61.2403100775194,359
2026,"Kent St.",55.2469135802469,284,16.0434726355285,240,33.3333333333333,225,37.6543209876543,199
2026,"Kentucky",40.8713692946058,17,13.1328840504579,336,20.3488372093023,10,38.1742738589212,208
2026,"LIU",52.9182879377432,226,20.1569599339116,96,36.7741935483871,296,33.852140077821,143
2026,"LSU",40.25,11,12.7904984868383,344,27.3381294964029,98,28,60
2026,"La Salle",53.2051282051282,234,17.4090193536439,187,29.4117647058824,139,25.6410256410256,40
