Team,AdjOE,AdjDE,AdjEM,AdjTempo,HomeCourtAdv
Harvard,104.343,106.45,-2.10724,68.0729,2.1
Hawaii,106.093,98.0251,8.06831,71.7454,2.5
High Point,114.877,105.178,9.69878,71.4525,2.7
Hofstra,104.738,105.192,-0.453909,70.3803,2.2
Holy Cross,101.727,114.667,-12.9404,68.9569,2.1
Houston,118.917,89.5657,29.3514,66.6052,3.1
Houston Christian,99.2086,109.019,-9.81031,69.1146,2.4
Howard,101.882,113.945,-12.0629,70.1336,3.3
Idaho,106.846,112.062,-5.21608,69.5457,2.6
Idaho St.,105.369,111.882,-6.51298,65.9742,2.6
Illinois,123.786,95.8475,27.9382,73.009,3.1
Illinois Chicago,105.67,104.53,1.13992,70.7552,2.6
Illinois St.,109.118,106.907,2.21177,68.5856,3.6
Incarnate Word,106.64,109.49,-2.8505,68.9675,2.4
Indiana,119.732,98.0733,21.6583,69.6067,3.2
Indiana St.,104.835,108.481,-3.64515,74.06,3.6
Iona,106.401,109.712,-3.31108,74.2214,2.8
Iowa,117.896,99.71,18.186,66.5026,3.5
Iowa St.,119.205,92.2401,26.9648,71.67,3.7
IU Indy,103.623,116.458,-12.8353,77.3843,2.7
Jackson St.,100.033,110.056,-10.0234,72.025,2.6
Jacksonville,100.953,107.646,-6.69342,69.0399,2.9
Jacksonville St.,104.921,105.336,-0.415528,68.8862,2.4
James Madison,107.69,111.223,-3.53296,69.4415,2.8
Kansas,115.5,94.6059,20.8942,70.2013,3.9
Kansas City,100.261,113.892,-13.6309,71.4674,3.1
Kansas St.,115.673,103.121,12.5517,73.819,3.7
Kennesaw St.,109.309,109.444,-0.134319,75.0066,3.0
Kent St.,113.247,110.655,2.59168,72.0575,2.8
Kentucky,122.965,94.103,28.8623,72.5542,3.6
La Salle,105.578,110.566,-4.9879,67.8762,3.3
Lafayette,100.403,114.887,-14.4833,70.2756,2.2
Lamar,102.982,107.149,-4.16662,69.1879,3.0
Le Moyne,101.016,114.47,-13.4542,70.299,2.2
Lehigh,100.074,109.285,-9.21164,71.0178,2.1
Liberty,115.71,105.362,10.3478,67.6876,2.9
Lindenwood,96.8301,111.248,-14.4181,73.6526,2.8
Lipscomb,103.967,112.066,-8.09923,68.9285,2.2
Little Rock,103.284,108.098,-4.81365,69.0432,2.9
LIU,101.892,108.625,-6.73338,73.4337,2.2
Long Beach St.,102.108,109.181,-7.07369,69.4528,2.2
Longwood,105.59,109.757,-4.16656,72.275,2.2
Louisiana,102.278,110.274,-7.99585,66.944,2.5
Louisiana Monroe,97.0604,115.846,-18.786,72.2576,2.5
Louisiana Tech,101.997,104.019,-2.02221,68.0288,3.2
Louisville,125.82,99.5183,26.3014,74.1667,3.3
Loyola Chicago,108.643,110.865,-2.22244,68.2435,3.5
Loyola Marymount,107.496,101.535,5.96054,68.3418,2.6
Loyola MD,101.448,111.493,-10.0456,69.3162,1.8
LSU,117.208,99.5285,17.6795,71.4174,3.6
Maine,94.7109,105.388,-10.6771,68.1094,2.6
Manhattan,106.707,116.378,-9.67085,70.7285,1.7
Marist,97.5872,99.5032,-1.91599,67.799,2.3
Marquette,114.355,100.282,14.0724,73.6532,3.6
Marshall,106.993,107.571,-0.577881,73.8968,3.1
Maryland,112.446,96.7412,15.7046,70.5135,3.7
Maryland Eastern Shore,91.2863,109.117,-17.8309,66.9689,3.1
Massachusetts,103.589,106.526,-2.93662,75.4216,3.3
